General : Start date,"11/2/2020 3:30 PM"
General : End date,"11/2/2020 3:32 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.61142"
"0.10000","0.00060","-0.96236"
"0.20000","0.00232","-1.37754"
"0.30000","0.00464","-0.93416"
"0.40000","0.00625","-2.19850"
"0.50000","0.00847","1.93371"
"0.60000","0.01522","18.57768"
"0.70000","0.02177","39.47997"
"0.80000","0.02570","53.48560"
"0.90000","0.02903","62.82399"
"1.00000","0.03276","74.70045"
"1.10000","0.03639","85.80923"
"1.20000","0.03991","95.92941"
"1.30000","0.04324","108.25709"
"1.40000","0.04647","117.71454"
"1.50000","0.04989","128.03448"
"1.60000","0.05352","139.18948"
"1.70000","0.05655","148.88194"
"1.80000","0.06007","159.05696"
"1.90000","0.06350","169.52260"
"2.00000","0.06662","179.38271"
"2.10000","0.07025","190.30191"
"2.20000","0.07358","201.17801"
"2.30000","0.07650","209.35236"
"2.40000","0.08023","220.36084"
"2.50000","0.08356","232.06184"
"2.60000","0.08628","240.40536"
"2.70000","0.08991","251.36296"
"2.80000","0.09333","262.18893"
"2.90000","0.09626","270.11887"
"3.00000","0.09999","281.72113"
"3.10000","0.10341","293.11664"
"3.20000","0.10624","301.80798"
"3.30000","0.11017","313.49487"
"3.40000","0.11370","325.55853"
"3.50000","0.11662","333.50961"
"3.60000","0.12035","344.17108"
"3.70000","0.12347","355.24069"
"3.80000","0.12640","363.59601"
"3.90000","0.13033","375.20297"
"4.00000","0.13325","385.50568"
"4.10000","0.13678","396.58939"
"4.20000","0.14030","408.46271"
"4.30000","0.14293","416.21634"
"4.40000","0.14595","424.94611"
"4.50000","0.15008","438.38770"
"4.60000","0.15311","449.29358"
"4.70000","0.15633","458.80273"
"4.80000","0.16016","470.73486"
"4.90000","0.16318","480.11319"
"5.00000","0.16661","490.65091"
"5.10000","0.17044","503.80267"
"5.20000","0.17326","513.02118"
"5.30000","0.17649","521.61456"
"5.40000","0.18042","534.45697"
"5.50000","0.18334","544.59906"
"5.60000","0.18667","554.23596"
"5.70000","0.19040","566.53461"
"5.80000","0.19312","575.19147"
"5.90000","0.19665","586.03857"
"6.00000","0.20018","597.15680"
"6.10000","0.20290","606.41608"
"6.20000","0.20632","615.46222"
"6.30000","0.21005","627.03009"
"6.40000","0.21308","637.28345"
"6.50000","0.21650","646.93048"
"6.60000","0.22013","658.52960"
"6.70000","0.22346","668.87384"
"6.80000","0.22658","677.92084"
"6.90000","0.23011","689.01550"
"7.00000","0.23334","698.64532"
"7.10000","0.23656","708.85400"
"7.20000","0.23999","718.88879"
"7.30000","0.24332","728.95337"
"7.40000","0.24674","739.16595"
"7.50000","0.25017","749.84778"
"7.60000","0.25340","759.48309"
"7.70000","0.25662","768.97815"
"7.80000","0.25995","778.58289"
