General : Start date,"11/2/2020 3:42 PM"
General : End date,"11/2/2020 3:44 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00010","-0.13246"
"0.10000","0.00050","-1.77751"
"0.20000","0.00202","0.31797"
"0.30000","0.00665","10.57994"
"0.40000","0.01270","31.56762"
"0.50000","0.01593","42.22205"
"0.60000","0.01986","54.31472"
"0.70000","0.02308","65.47598"
"0.80000","0.02641","76.00194"
"0.90000","0.03034","89.38871"
"1.00000","0.03326","97.87010"
"1.10000","0.03649","108.16263"
"1.20000","0.03991","119.63097"
"1.30000","0.04284","129.39941"
"1.40000","0.04626","137.92781"
"1.50000","0.05020","151.78304"
"1.60000","0.05302","160.04196"
"1.70000","0.05665","170.61180"
"1.80000","0.06027","182.45850"
"1.90000","0.06320","191.31903"
"2.00000","0.06693","201.94917"
"2.10000","0.07005","213.45119"
"2.20000","0.07308","221.61847"
"2.30000","0.07701","232.71942"
"2.40000","0.08003","242.21681"
"2.50000","0.08285","250.28461"
"2.60000","0.08719","261.75842"
"2.70000","0.09041","273.51270"
"2.80000","0.09313","280.05215"
"2.90000","0.09717","290.68622"
"3.00000","0.10009","301.09781"
"3.10000","0.10301","309.31207"
"3.20000","0.10684","320.60727"
"3.30000","0.10997","330.74628"
"3.40000","0.11309","339.51752"
"3.50000","0.11672","350.33881"
"3.60000","0.12005","360.96738"
"3.70000","0.12327","370.25717"
"3.80000","0.12680","380.30139"
"3.90000","0.13023","390.83203"
"4.00000","0.13335","399.77328"
"4.10000","0.13708","410.79587"
"4.20000","0.14020","419.80212"
"4.30000","0.14343","429.10526"
"4.40000","0.14696","439.02881"
"4.50000","0.15008","448.91476"
"4.60000","0.15321","457.84189"
"4.70000","0.15673","468.21982"
"4.80000","0.15986","476.15756"
"4.90000","0.16308","486.80020"
"5.00000","0.16702","498.13147"
"5.10000","0.17014","508.97473"
"5.20000","0.17286","516.24426"
"5.30000","0.17679","527.85284"
"5.40000","0.18042","539.31641"
"5.50000","0.18344","548.23572"
"5.60000","0.18707","559.80829"
"5.70000","0.19010","568.62024"
"5.80000","0.19322","577.41418"
"5.90000","0.19715","590.52527"
"6.00000","0.20008","599.69836"
"6.10000","0.20320","608.44843"
"6.20000","0.20703","619.92224"
"6.30000","0.20985","629.28021"
"6.40000","0.21308","638.01855"
"6.50000","0.21691","650.44104"
"6.60000","0.21973","659.52014"
"6.70000","0.22296","668.37280"
"6.80000","0.22689","680.63391"
"6.90000","0.22991","689.65741"
"7.00000","0.23334","700.08075"
"7.10000","0.23717","712.63251"
"7.20000","0.23999","720.62115"
"7.30000","0.24342","729.55292"
"7.40000","0.24715","742.76508"
"7.50000","0.24987","750.99573"
"7.60000","0.25340","759.98560"
"7.70000","0.25692","772.34772"
"7.80000","0.25944","780.80713"
