General : Start date,"11/2/2020 3:07 PM"
General : End date,"11/2/2020 3:09 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00010","-0.30806"
"0.10000","0.00050","-0.95276"
"0.20000","0.00181","-0.30022"
"0.30000","0.00544","6.38807"
"0.40000","0.01159","29.21977"
"0.50000","0.01593","45.87628"
"0.60000","0.01915","57.89688"
"0.70000","0.02268","69.19679"
"0.80000","0.02651","82.80212"
"0.90000","0.02973","94.25245"
"1.00000","0.03326","105.93228"
"1.10000","0.03689","118.46442"
"1.20000","0.04002","128.92615"
"1.30000","0.04344","139.55394"
"1.40000","0.04697","152.08295"
"1.50000","0.04989","161.09624"
"1.60000","0.05312","169.89804"
"1.70000","0.05665","181.96721"
"1.80000","0.05957","190.67264"
"1.90000","0.06320","201.09126"
"2.00000","0.06693","213.51297"
"2.10000","0.06975","223.27437"
"2.20000","0.07348","232.65895"
"2.30000","0.07711","244.58165"
"2.40000","0.07993","253.21266"
"2.50000","0.08356","264.77814"
"2.60000","0.08719","275.66367"
"2.70000","0.09001","284.76703"
"2.80000","0.09364","293.85321"
"2.90000","0.09717","305.22284"
"3.00000","0.09989","313.08304"
"3.10000","0.10321","323.20007"
"3.20000","0.10684","334.45767"
"3.30000","0.10966","342.92969"
"3.40000","0.11319","353.61700"
"3.50000","0.11672","364.82526"
"3.60000","0.11954","373.64038"
"3.70000","0.12347","384.87137"
"3.80000","0.12690","396.45013"
"3.90000","0.13002","406.03766"
"4.00000","0.13385","417.17776"
"4.10000","0.13698","428.54504"
"4.20000","0.13980","436.29712"
"4.30000","0.14383","449.31885"
"4.40000","0.14665","458.50369"
"4.50000","0.14968","466.63416"
"4.60000","0.15381","479.88776"
"4.70000","0.15653","489.30450"
"4.80000","0.15976","498.20264"
"4.90000","0.16369","512.02893"
"5.00000","0.16661","521.65240"
"5.10000","0.16974","529.71161"
"5.20000","0.17367","542.57196"
"5.30000","0.17649","552.42657"
"5.40000","0.17961","561.63568"
"5.50000","0.18365","573.63361"
"5.60000","0.18667","584.32562"
"5.70000","0.18990","593.87787"
"5.80000","0.19383","605.54517"
"5.90000","0.19705","616.07898"
"6.00000","0.20018","625.35236"
"6.10000","0.20380","636.42584"
"6.20000","0.20703","647.34192"
"6.30000","0.21005","656.85187"
"6.40000","0.21318","665.89026"
"6.50000","0.21640","675.86157"
"6.60000","0.21973","686.54108"
"6.70000","0.22316","697.19629"
"6.80000","0.22658","707.54364"
"6.90000","0.22991","718.37433"
"7.00000","0.23344","728.30023"
"7.10000","0.23666","739.43250"
"7.20000","0.23969","748.49200"
"7.30000","0.24352","759.99878"
"7.40000","0.24684","770.53882"
"7.50000","0.24997","780.46240"
"7.60000","0.25350","792.10541"
"7.70000","0.25682","802.42371"
"7.80000","0.26045","811.89221"
