General : Start date,"11/2/2020 3:45 PM"
General : End date,"11/2/2020 3:47 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00010","-1.40867"
"0.10000","0.00030","-0.47099"
"0.20000","0.00171","-0.37856"
"0.30000","0.00605","10.46153"
"0.40000","0.01240","34.18704"
"0.50000","0.01572","47.00823"
"0.60000","0.01965","59.90620"
"0.70000","0.02288","70.63818"
"0.80000","0.02631","82.25848"
"0.90000","0.03024","95.96722"
"1.00000","0.03306","105.94405"
"1.10000","0.03659","116.93453"
"1.20000","0.03991","129.04286"
"1.30000","0.04274","136.89993"
"1.40000","0.04626","148.27975"
"1.50000","0.04989","160.66618"
"1.60000","0.05302","170.53412"
"1.70000","0.05655","179.62497"
"1.80000","0.06007","192.20567"
"1.90000","0.06310","201.84956"
"2.00000","0.06683","212.56117"
"2.10000","0.06995","223.29080"
"2.20000","0.07287","231.59047"
"2.30000","0.07691","243.51393"
"2.40000","0.07983","253.69835"
"2.50000","0.08265","261.09558"
"2.60000","0.08698","274.10950"
"2.70000","0.09031","285.95776"
"2.80000","0.09303","293.37613"
"2.90000","0.09706","304.57422"
"3.00000","0.09999","314.99365"
"3.10000","0.10291","323.12253"
"3.20000","0.10674","334.60263"
"3.30000","0.10987","344.86536"
"3.40000","0.11299","353.69379"
"3.50000","0.11672","364.86209"
"3.60000","0.11994","376.35706"
"3.70000","0.12317","385.72211"
"3.80000","0.12680","396.26450"
"3.90000","0.13023","407.50333"
"4.00000","0.13325","416.99210"
"4.10000","0.13698","428.93124"
"4.20000","0.14010","438.79291"
"4.30000","0.14333","449.90872"
"4.40000","0.14676","459.21658"
"4.50000","0.14998","470.00027"
"4.60000","0.15321","480.09930"
"4.70000","0.15663","491.00360"
"4.80000","0.15966","500.46500"
"4.90000","0.16288","511.57611"
"5.00000","0.16671","523.40717"
"5.10000","0.17004","535.07916"
"5.20000","0.17296","544.08459"
"5.30000","0.17659","555.31714"
"5.40000","0.18022","567.52344"
"5.50000","0.18314","576.37378"
"5.60000","0.18697","587.90558"
"5.70000","0.19010","598.94305"
"5.80000","0.19312","607.65948"
"5.90000","0.19705","620.38745"
"6.00000","0.19997","630.29846"
"6.10000","0.20310","638.82843"
"6.20000","0.20693","651.58069"
"6.30000","0.20975","660.46942"
"6.40000","0.21288","670.00757"
"6.50000","0.21681","682.61414"
"6.60000","0.21973","692.51416"
"6.70000","0.22285","700.57257"
"6.80000","0.22689","713.74310"
"6.90000","0.22981","724.15790"
"7.00000","0.23314","732.08386"
"7.10000","0.23707","746.30334"
"7.20000","0.23989","754.57086"
"7.30000","0.24322","764.07452"
"7.40000","0.24705","776.97723"
"7.50000","0.24977","785.22833"
"7.60000","0.25319","796.37628"
"7.70000","0.25682","808.74542"
"7.80000","0.25934","816.90961"
