General : Start date,"11/4/2020 3:18 PM"
General : End date,"11/4/2020 3:42 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.40235"
"0.10000","0.00040","0.52769"
"0.20000","0.00161","0.11564"
"0.30000","0.00494","0.75329"
"0.40000","0.01139","-0.17028"
"0.50000","0.01613","1.33376"
"0.60000","0.01955","1.04783"
"0.70000","0.02359","0.12034"
"0.80000","0.02701","0.87315"
"0.90000","0.03054","0.65067"
"1.00000","0.03417","0.50575"
"1.10000","0.03739","0.35065"
"1.20000","0.04092","0.19633"
"1.30000","0.04435","0.14776"
"1.40000","0.04737","0.62169"
"1.50000","0.05070","1.03138"
"1.60000","0.05433","1.15045"
"1.70000","0.05725","0.90683"
"1.80000","0.06068","1.70821"
"1.90000","0.06431","1.03295"
"2.00000","0.06723","1.50297"
"2.10000","0.07056","1.16769"
"2.20000","0.07428","1.45831"
"2.30000","0.07721","1.15907"
"2.40000","0.08074","0.49244"
"2.50000","0.08447","1.22096"
"2.60000","0.08729","1.09405"
"2.70000","0.09092","0.30208"
"2.80000","0.09475","0.89743"
"2.90000","0.09737","1.31653"
"3.00000","0.10100","0.56607"
"3.10000","0.10462","1.17552"
"3.20000","0.10714","0.95540"
"3.30000","0.11087","0.57939"
"3.40000","0.11440","1.73484"
"3.50000","0.11692","0.01224"
"3.60000","0.12085","1.35961"
"3.70000","0.12438","2.03721"
"3.80000","0.12690","1.66512"
"3.90000","0.13103","2.26125"
"4.00000","0.13456","2.52838"
"4.10000","0.13708","0.61621"
"4.20000","0.14111","1.18257"
"4.30000","0.14454","1.40113"
"4.40000","0.14726","2.47041"
"4.50000","0.15139","2.04583"
"4.60000","0.15442","2.19388"
"4.70000","0.15724","1.04235"
"4.80000","0.16137","1.61107"
"4.90000","0.16409","1.48886"
"5.00000","0.16702","0.91310"
"5.10000","0.17125","2.40461"
"5.20000","0.17387","1.13557"
"5.30000","0.17689","2.18370"
"5.40000","0.18113","1.26482"
"5.50000","0.18395","1.23427"
"5.60000","0.18707","1.05253"
"5.70000","0.19121","1.11834"
"5.80000","0.19403","1.29459"
"5.90000","0.19715","1.13792"
"6.00000","0.20128","0.75408"
"6.10000","0.20401","1.49670"
"6.20000","0.20733","1.73640"
"6.30000","0.21116","1.97298"
"6.40000","0.21409","2.61847"
"6.50000","0.21751","1.32279"
"6.60000","0.22114","2.47041"
"6.70000","0.22406","1.78889"
"6.80000","0.22719","3.38145"
"6.90000","0.23062","2.50018"
"7.00000","0.23374","2.30826"
"7.10000","0.23707","2.06777"
"7.20000","0.24070","2.17430"
"7.30000","0.24382","2.00980"
"7.40000","0.24745","2.10615"
"7.50000","0.25098","2.01371"
"7.60000","0.25410","2.59105"
"7.70000","0.25763","3.07673"
"7.80000","0.26085","3.09710"
"7.90000","0.26408","2.79080"
