General : Start date,"11/2/2020 4:12 PM"
General : End date,"11/2/2020 4:13 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-2.34517"
"0.10000","0.00060","-2.83163"
"0.20000","0.00222","-1.86419"
"0.30000","0.00685","9.67152"
"0.40000","0.01179","25.77654"
"0.50000","0.01572","39.58554"
"0.60000","0.01945","49.45427"
"0.70000","0.02278","60.34527"
"0.80000","0.02661","71.67730"
"0.90000","0.03004","81.63063"
"1.00000","0.03336","91.84637"
"1.10000","0.03649","102.00651"
"1.20000","0.03981","111.46162"
"1.30000","0.04354","122.68163"
"1.40000","0.04697","134.02933"
"1.50000","0.04989","142.07518"
"1.60000","0.05342","151.82091"
"1.70000","0.05695","163.53601"
"1.80000","0.05957","170.90034"
"1.90000","0.06330","179.87839"
"2.00000","0.06703","192.60558"
"2.10000","0.06965","199.37065"
"2.20000","0.07328","208.42859"
"2.30000","0.07701","219.85776"
"2.40000","0.07983","227.87932"
"2.50000","0.08346","236.93259"
"2.60000","0.08698","248.16119"
"2.70000","0.08981","256.27444"
"2.80000","0.09374","265.61908"
"2.90000","0.09737","277.54178"
"3.00000","0.09999","284.95859"
"3.10000","0.10352","293.94525"
"3.20000","0.10674","302.83008"
"3.30000","0.10966","311.14694"
"3.40000","0.11349","320.04276"
"3.50000","0.11672","330.36426"
"3.60000","0.11964","337.64398"
"3.70000","0.12327","347.20172"
"3.80000","0.12629","355.32748"
"3.90000","0.12962","363.38507"
"4.00000","0.13365","375.00226"
"4.10000","0.13688","384.76288"
"4.20000","0.13980","390.21973"
"4.30000","0.14383","402.49097"
"4.40000","0.14665","410.69742"
"4.50000","0.14998","416.84912"
"4.60000","0.15401","429.73849"
"4.70000","0.15663","436.23801"
"4.80000","0.15976","443.13782"
"4.90000","0.16409","455.13644"
"5.00000","0.16671","462.45535"
"5.10000","0.16964","468.85693"
"5.20000","0.17337","479.08603"
"5.30000","0.17649","488.53174"
"5.40000","0.17982","495.99475"
"5.50000","0.18365","507.59549"
"5.60000","0.18647","515.87714"
"5.70000","0.18969","522.29205"
"5.80000","0.19362","534.25543"
"5.90000","0.19645","541.64172"
"6.00000","0.19997","549.05853"
"6.10000","0.20391","561.15436"
"6.20000","0.20683","568.72235"
"6.30000","0.21015","577.04712"
"6.40000","0.21378","587.45081"
"6.50000","0.21691","594.63025"
"6.60000","0.21993","602.79126"
"6.70000","0.22336","611.23981"
"6.80000","0.22658","619.40082"
"6.90000","0.23001","628.40234"
"7.00000","0.23334","637.70001"
"7.10000","0.23646","645.71454"
"7.20000","0.23969","652.47253"
"7.30000","0.24332","662.31073"
"7.40000","0.24654","670.15363"
"7.50000","0.24987","677.76318"
"7.60000","0.25370","688.31659"
"7.70000","0.25662","695.58063"
"7.80000","0.25975","702.43262"
