General : Start date,"11/2/2020 3:56 PM"
General : End date,"11/2/2020 3:57 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.93004"
"0.10000","0.00060","-2.63932"
"0.20000","0.00222","0.13298"
"0.30000","0.00766","18.50033"
"0.40000","0.01250","41.51299"
"0.50000","0.01593","56.45629"
"0.60000","0.01935","68.81296"
"0.70000","0.02288","83.53614"
"0.80000","0.02661","98.79435"
"0.90000","0.02983","111.19174"
"1.00000","0.03326","124.36781"
"1.10000","0.03689","138.76353"
"1.20000","0.03981","151.08965"
"1.30000","0.04334","164.13332"
"1.40000","0.04677","177.52400"
"1.50000","0.04969","189.23676"
"1.60000","0.05332","202.60315"
"1.70000","0.05685","216.01501"
"1.80000","0.05967","226.17905"
"1.90000","0.06310","237.21497"
"2.00000","0.06683","251.49321"
"2.10000","0.06955","261.02509"
"2.20000","0.07308","272.84201"
"2.30000","0.07691","286.93225"
"2.40000","0.07973","296.59964"
"2.50000","0.08336","308.32022"
"2.60000","0.08709","323.44839"
"2.70000","0.08991","331.13391"
"2.80000","0.09374","344.15018"
"2.90000","0.09706","356.22873"
"3.00000","0.09989","366.42804"
"3.10000","0.10352","377.26184"
"3.20000","0.10694","390.02350"
"3.30000","0.10976","398.85425"
"3.40000","0.11339","410.42838"
"3.50000","0.11652","423.09677"
"3.60000","0.11934","431.81161"
"3.70000","0.12337","446.58496"
"3.80000","0.12619","457.94208"
"3.90000","0.12942","467.78885"
"4.00000","0.13375","484.18683"
"4.10000","0.13668","495.96616"
"4.20000","0.13940","504.07468"
"4.30000","0.14403","520.25098"
"4.40000","0.14696","533.31342"
"4.50000","0.14988","541.68280"
"4.60000","0.15391","557.00134"
"4.70000","0.15683","567.99109"
"4.80000","0.15996","577.77832"
"4.90000","0.16369","591.05231"
"5.00000","0.16651","601.25397"
"5.10000","0.16984","612.81158"
"5.20000","0.17326","626.11530"
"5.30000","0.17619","636.08124"
"5.40000","0.17961","647.96240"
"5.50000","0.18344","661.42749"
"5.60000","0.18657","673.02899"
"5.70000","0.18990","684.17767"
"5.80000","0.19362","697.56915"
"5.90000","0.19655","708.50330"
"6.00000","0.19987","718.96973"
"6.10000","0.20360","732.97687"
"6.20000","0.20663","743.25922"
"6.30000","0.20985","754.30536"
"6.40000","0.21358","768.88281"
"6.50000","0.21671","779.84271"
"6.60000","0.22013","790.85901"
"6.70000","0.22356","803.78058"
"6.80000","0.22668","814.68011"
"6.90000","0.22991","825.11603"
"7.00000","0.23334","837.99518"
"7.10000","0.23636","847.66333"
"7.20000","0.23969","858.51831"
"7.30000","0.24342","872.13934"
"7.40000","0.24654","882.67859"
"7.50000","0.24977","893.44110"
"7.60000","0.25340","906.19733"
"7.70000","0.25652","917.44391"
"7.80000","0.25964","927.65112"
