General : Start date,"11/4/2020 1:51 PM"
General : End date,"11/4/2020 2:01 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00010","-0.00569"
"0.10000","0.00020","0.69776"
"0.20000","0.00151","0.42045"
"0.30000","0.00474","0.20033"
"0.40000","0.01159","0.08126"
"0.50000","0.01593","1.17953"
"0.60000","0.01925","1.30408"
"0.70000","0.02248","0.43847"
"0.80000","0.02600","0.90614"
"0.90000","0.02994","0.23167"
"1.00000","0.03286","0.50036"
"1.10000","0.03618","0.84503"
"1.20000","0.04012","0.73928"
"1.30000","0.04314","0.72675"
"1.40000","0.04647","0.32253"
"1.50000","0.05030","0.85600"
"1.60000","0.05292","0.47137"
"1.70000","0.05655","0.46432"
"1.80000","0.06038","0.19485"
"1.90000","0.06320","0.43690"
"2.00000","0.06683","-0.17255"
"2.10000","0.07045","1.42002"
"2.20000","0.07318","1.00327"
"2.30000","0.07680","0.75338"
"2.40000","0.08013","0.74946"
"2.50000","0.08275","0.60768"
"2.60000","0.08658","0.43377"
"2.70000","0.08991","0.31157"
"2.80000","0.09283","0.16351"
"2.90000","0.09686","0.62256"
"3.00000","0.10009","0.69541"
"3.10000","0.10291","0.40322"
"3.20000","0.10704","0.42985"
"3.30000","0.11017","1.17169"
"3.40000","0.11299","0.81213"
"3.50000","0.11722","0.44552"
"3.60000","0.12015","0.70873"
"3.70000","0.12307","0.32332"
"3.80000","0.12720","1.27980"
"3.90000","0.13012","0.91710"
"4.00000","0.13295","0.38834"
"4.10000","0.13688","1.00875"
"4.20000","0.13970","1.38477"
"4.30000","0.14293","1.43490"
"4.40000","0.14676","0.58809"
"4.50000","0.14968","0.22853"
"4.60000","0.15280","0.15254"
"4.70000","0.15683","0.70716"
"4.80000","0.15996","0.65703"
"4.90000","0.16308","0.24420"
"5.00000","0.16702","1.28215"
"5.10000","0.16994","0.62726"
"5.20000","0.17316","0.06716"
"5.30000","0.17699","0.99309"
"5.40000","0.17992","0.38755"
"5.50000","0.18314","0.15646"
"5.60000","0.18697","0.91867"
"5.70000","0.18990","0.77610"
"5.80000","0.19322","0.99936"
"5.90000","0.19675","1.51167"
"6.00000","0.19977","0.42280"
"6.10000","0.20300","0.68209"
"6.20000","0.20673","1.27196"
"6.30000","0.20975","0.12669"
"6.40000","0.21318","0.80038"
"6.50000","0.21691","1.00092"
"6.60000","0.21993","0.92023"
"6.70000","0.22336","1.67461"
"6.80000","0.22689","1.12077"
"6.90000","0.22991","1.17169"
"7.00000","0.23344","0.34290"
"7.10000","0.23687","1.33933"
"7.20000","0.23969","0.94530"
"7.30000","0.24332","0.64998"
"7.40000","0.24684","0.44160"
"7.50000","0.24977","0.91632"
"7.60000","0.25329","0.59671"
"7.70000","0.25672","1.51245"
"7.80000","0.25964","0.23793"
"7.90000","0.26307","0.43847"
