General : Start date,"11/4/2020 2:36 PM"
General : End date,"11/4/2020 2:55 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.17179"
"0.10000","0.00030","1.44082"
"0.20000","0.00131","0.16082"
"0.30000","0.00363","-0.50974"
"0.40000","0.00978","0.18510"
"0.50000","0.01532","0.70133"
"0.60000","0.01875","0.37154"
"0.70000","0.02268","1.18075"
"0.80000","0.02631","-0.24888"
"0.90000","0.02973","-0.14782"
"1.00000","0.03346","0.73502"
"1.10000","0.03669","1.42515"
"1.20000","0.04012","0.83999"
"1.30000","0.04374","0.89952"
"1.40000","0.04667","1.29903"
"1.50000","0.04989","1.01624"
"1.60000","0.05352","0.73423"
"1.70000","0.05665","0.87915"
"1.80000","0.05987","0.87759"
"1.90000","0.06360","0.67392"
"2.00000","0.06662","0.49610"
"2.10000","0.06975","1.15725"
"2.20000","0.07348","1.12278"
"2.30000","0.07660","1.31235"
"2.40000","0.07983","1.08205"
"2.50000","0.08376","1.97350"
"2.60000","0.08668","1.59123"
"2.70000","0.09001","1.50271"
"2.80000","0.09404","2.05184"
"2.90000","0.09676","0.81257"
"3.00000","0.10009","1.51054"
"3.10000","0.10392","1.17761"
"3.20000","0.10654","2.06046"
"3.30000","0.10997","1.34760"
"3.40000","0.11370","1.61943"
"3.50000","0.11632","0.63475"
"3.60000","0.11984","1.25908"
"3.70000","0.12377","2.06281"
"3.80000","0.12629","0.96767"
"3.90000","0.13002","1.29120"
"4.00000","0.13395","1.54344"
"4.10000","0.13647","1.55049"
"4.20000","0.14010","1.41810"
"4.30000","0.14383","1.34447"
"4.40000","0.14645","1.41732"
"4.50000","0.15048","1.94530"
"4.60000","0.15381","2.21086"
"4.70000","0.15643","0.83294"
"4.80000","0.16056","1.18936"
"4.90000","0.16359","2.38712"
"5.00000","0.16621","1.30452"
"5.10000","0.17034","1.92102"
"5.20000","0.17337","2.06986"
"5.30000","0.17619","1.11260"
"5.40000","0.18022","1.47921"
"5.50000","0.18324","1.24733"
"5.60000","0.18627","1.56302"
"5.70000","0.19040","1.37502"
"5.80000","0.19342","1.91710"
"5.90000","0.19635","1.52542"
"6.00000","0.20038","1.99387"
"6.10000","0.20350","2.35735"
"6.20000","0.20643","1.81918"
"6.30000","0.21046","2.56729"
"6.40000","0.21348","1.96959"
"6.50000","0.21661","2.04322"
"6.60000","0.22044","2.40435"
"6.70000","0.22336","1.89360"
"6.80000","0.22638","1.83563"
"6.90000","0.23001","1.66251"
"7.00000","0.23303","1.30844"
"7.10000","0.23626","2.31583"
"7.20000","0.23989","2.39182"
"7.30000","0.24311","1.67740"
"7.40000","0.24664","1.93120"
"7.50000","0.25037","1.82623"
"7.60000","0.25350","2.35891"
"7.70000","0.25682","2.64171"
"7.80000","0.26025","2.41453"
"7.90000","0.26327","1.97194"
