General : Start date,"11/2/2020 4:17 PM"
General : End date,"11/2/2020 4:19 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.45158"
"0.10000","0.00060","0.14456"
"0.20000","0.00212","1.01800"
"0.30000","0.00675","9.07717"
"0.40000","0.01169","17.41208"
"0.50000","0.01572","28.01559"
"0.60000","0.01925","36.49308"
"0.70000","0.02278","43.01060"
"0.80000","0.02681","55.40564"
"0.90000","0.03004","60.32747"
"1.00000","0.03346","70.71400"
"1.10000","0.03669","78.92749"
"1.20000","0.03951","87.28355"
"1.30000","0.04344","96.57964"
"1.40000","0.04707","108.84229"
"1.50000","0.04999","116.79884"
"1.60000","0.05342","125.77297"
"1.70000","0.05695","136.55588"
"1.80000","0.05967","142.75456"
"1.90000","0.06320","151.28845"
"2.00000","0.06693","163.23308"
"2.10000","0.06965","169.31192"
"2.20000","0.07338","178.51401"
"2.30000","0.07701","189.36975"
"2.40000","0.07973","196.79283"
"2.50000","0.08346","206.22444"
"2.60000","0.08698","217.05983"
"2.70000","0.08971","222.71176"
"2.80000","0.09374","232.57576"
"2.90000","0.09727","243.03357"
"3.00000","0.09989","249.16725"
"3.10000","0.10362","257.47708"
"3.20000","0.10684","265.43600"
"3.30000","0.10976","273.68710"
"3.40000","0.11319","279.85132"
"3.50000","0.11662","289.96994"
"3.60000","0.11974","297.11493"
"3.70000","0.12337","305.72635"
"3.80000","0.12650","313.53250"
"3.90000","0.12982","321.34805"
"4.00000","0.13375","330.97552"
"4.10000","0.13698","340.63977"
"4.20000","0.13990","346.68964"
"4.30000","0.14393","356.19330"
"4.40000","0.14676","363.05157"
"4.50000","0.15008","370.72693"
"4.60000","0.15401","380.76877"
"4.70000","0.15663","386.16608"
"4.80000","0.15996","393.80850"
"4.90000","0.16399","404.30627"
"5.00000","0.16671","410.29657"
"5.10000","0.16984","417.53714"
"5.20000","0.17337","425.10593"
"5.30000","0.17619","431.38922"
"5.40000","0.17961","439.31757"
"5.50000","0.18355","449.20511"
"5.60000","0.18657","455.89731"
"5.70000","0.18990","462.79636"
"5.80000","0.19362","472.52563"
"5.90000","0.19635","478.17599"
"6.00000","0.19987","485.81763"
"6.10000","0.20380","495.77798"
"6.20000","0.20683","501.72681"
"6.30000","0.21005","508.93683"
"6.40000","0.21378","518.01984"
"6.50000","0.21691","524.48016"
"6.60000","0.21993","531.10498"
"6.70000","0.22326","538.59943"
"6.80000","0.22648","545.76709"
"6.90000","0.23011","553.70795"
"7.00000","0.23334","562.29041"
"7.10000","0.23656","567.90552"
"7.20000","0.23989","574.26093"
"7.30000","0.24352","582.62476"
"7.40000","0.24644","588.00171"
"7.50000","0.24977","594.97522"
"7.60000","0.25370","604.42792"
"7.70000","0.25672","610.56244"
"7.80000","0.25985","616.05219"
