General : Start date,"11/2/2020 3:49 PM"
General : End date,"11/2/2020 3:51 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-1.17358"
"0.10000","0.00071","-0.95110"
"0.20000","0.00222","0.16831"
"0.30000","0.00695","12.93154"
"0.40000","0.01240","35.28069"
"0.50000","0.01593","47.96715"
"0.60000","0.01986","61.90227"
"0.70000","0.02298","74.13595"
"0.80000","0.02641","85.94191"
"0.90000","0.03024","99.43130"
"1.00000","0.03316","111.09626"
"1.10000","0.03669","122.32332"
"1.20000","0.04012","135.13354"
"1.30000","0.04294","145.38690"
"1.40000","0.04647","155.57915"
"1.50000","0.04999","169.76808"
"1.60000","0.05302","179.51851"
"1.70000","0.05685","191.56575"
"1.80000","0.06027","203.38269"
"1.90000","0.06320","212.63568"
"2.00000","0.06703","223.67474"
"2.10000","0.07005","234.60335"
"2.20000","0.07328","244.59506"
"2.30000","0.07701","256.85458"
"2.40000","0.07993","267.04211"
"2.50000","0.08285","275.67783"
"2.60000","0.08739","289.95844"
"2.70000","0.09001","300.07236"
"2.80000","0.09293","308.32422"
"2.90000","0.09727","321.27231"
"3.00000","0.10009","331.92752"
"3.10000","0.10301","339.64359"
"3.20000","0.10694","350.99207"
"3.30000","0.10987","362.20975"
"3.40000","0.11309","372.16461"
"3.50000","0.11682","383.74576"
"3.60000","0.11994","394.58508"
"3.70000","0.12317","403.79343"
"3.80000","0.12690","416.34277"
"3.90000","0.13023","426.95645"
"4.00000","0.13335","436.10687"
"4.10000","0.13708","448.30450"
"4.20000","0.14020","457.38989"
"4.30000","0.14323","468.22998"
"4.40000","0.14676","478.53659"
"4.50000","0.14998","488.83612"
"4.60000","0.15321","500.06165"
"4.70000","0.15673","511.03021"
"4.80000","0.15986","520.38501"
"4.90000","0.16308","531.30267"
"5.00000","0.16681","544.37689"
"5.10000","0.17024","555.89459"
"5.20000","0.17316","564.80994"
"5.30000","0.17689","576.66370"
"5.40000","0.18032","588.92712"
"5.50000","0.18324","597.28558"
"5.60000","0.18717","609.50671"
"5.70000","0.19020","620.81055"
"5.80000","0.19322","628.94720"
"5.90000","0.19715","642.78918"
"6.00000","0.20008","651.95917"
"6.10000","0.20310","661.11426"
"6.20000","0.20703","674.71014"
"6.30000","0.20975","683.90991"
"6.40000","0.21298","692.23071"
"6.50000","0.21711","705.70673"
"6.60000","0.22003","715.64520"
"6.70000","0.22296","722.73773"
"6.80000","0.22668","734.91888"
"6.90000","0.22991","746.38647"
"7.00000","0.23324","756.17450"
"7.10000","0.23717","769.30670"
"7.20000","0.23979","776.77600"
"7.30000","0.24311","785.84326"
"7.40000","0.24715","800.53674"
"7.50000","0.24997","809.64557"
"7.60000","0.25340","819.26520"
"7.70000","0.25692","832.03314"
"7.80000","0.25944","839.52362"
