General : Start date,"11/4/2020 2:56 PM"
General : End date,"11/4/2020 3:16 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.50722"
"0.10000","0.00030","0.55579"
"0.20000","0.00131","0.76416"
"0.30000","0.00373","-0.29729"
"0.40000","0.00998","0.60200"
"0.50000","0.01542","0.54717"
"0.60000","0.01875","0.78688"
"0.70000","0.02278","0.98898"
"0.80000","0.02641","-0.24637"
"0.90000","0.02973","0.42575"
"1.00000","0.03346","0.38188"
"1.10000","0.03659","0.21111"
"1.20000","0.03991","-0.07638"
"1.30000","0.04364","1.25297"
"1.40000","0.04677","0.11946"
"1.50000","0.04979","-0.24637"
"1.60000","0.05352","-0.26125"
"1.70000","0.05665","0.04504"
"1.80000","0.05977","0.71481"
"1.90000","0.06360","0.63569"
"2.00000","0.06652","0.68426"
"2.10000","0.06955","0.03407"
"2.20000","0.07348","0.52523"
"2.30000","0.07660","0.78374"
"2.40000","0.07973","0.79628"
"2.50000","0.08366","1.66032"
"2.60000","0.08668","1.56632"
"2.70000","0.09001","0.90438"
"2.80000","0.09414","0.96783"
"2.90000","0.09676","1.63760"
"3.00000","0.09999","0.30903"
"3.10000","0.10402","0.68347"
"3.20000","0.10664","1.23261"
"3.30000","0.10987","1.54987"
"3.40000","0.11380","1.09160"
"3.50000","0.11632","0.59417"
"3.60000","0.11984","0.67172"
"3.70000","0.12398","1.70889"
"3.80000","0.12629","1.24984"
"3.90000","0.13002","1.23966"
"4.00000","0.13395","1.81699"
"4.10000","0.13637","0.98037"
"4.20000","0.14000","1.15192"
"4.30000","0.14393","0.28631"
"4.40000","0.14645","1.08847"
"4.50000","0.15038","0.76572"
"4.60000","0.15381","1.06418"
"4.70000","0.15643","0.85268"
"4.80000","0.16067","0.96000"
"4.90000","0.16369","1.43785"
"5.00000","0.16611","1.00308"
"5.10000","0.17044","1.23966"
"5.20000","0.17337","1.73865"
"5.30000","0.17609","1.15192"
"5.40000","0.18032","0.80881"
"5.50000","0.18334","1.78252"
"5.60000","0.18627","1.20440"
"5.70000","0.19050","1.95408"
"5.80000","0.19342","2.14287"
"5.90000","0.19635","1.74257"
"6.00000","0.20048","1.06810"
"6.10000","0.20340","1.64857"
"6.20000","0.20632","1.40103"
"6.30000","0.21046","1.54908"
"6.40000","0.21368","1.50913"
"6.50000","0.21661","2.03476"
"6.60000","0.22044","2.06453"
"6.70000","0.22336","2.31442"
"6.80000","0.22638","1.54987"
"6.90000","0.23001","1.61723"
"7.00000","0.23314","1.36499"
"7.10000","0.23626","2.57841"
"7.20000","0.23999","1.18952"
"7.30000","0.24311","2.20945"
"7.40000","0.24654","1.65797"
"7.50000","0.25037","1.63369"
"7.60000","0.25340","2.15383"
"7.70000","0.25682","2.78287"
"7.80000","0.26035","2.09508"
"7.90000","0.26337","2.54865"
