General : Start date,"11/4/2020 1:42 PM"
General : End date,"11/4/2020 1:49 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.30000","0.61031","17.21752"
"18.40000","0.61343","16.86893"
"18.50000","0.61655","17.47838"
"18.60000","0.62049","18.40979"
"18.70000","0.62351","18.06041"
"18.80000","0.62663","18.05650"
"18.90000","0.63036","18.30091"
"19.00000","0.63339","18.17635"
"19.10000","0.63661","18.88529"
"19.20000","0.64024","18.78815"
"19.30000","0.64327","18.30717"
"19.40000","0.64659","18.32441"
"19.50000","0.65012","18.94952"
"19.60000","0.65304","18.83045"
"19.70000","0.65637","18.85474"
"19.80000","0.65990","19.08896"
"19.90000","0.66302","19.09366"
"20.00000","0.66655","19.67569"
"20.10000","0.67028","20.17548"
"20.20000","0.67320","19.53469"
"20.30000","0.67673","19.28715"
"20.40000","0.68046","19.34904"
"20.50000","0.68338","19.71408"
"20.60000","0.68681","20.62747"
"20.70000","0.69023","20.39325"
"20.80000","0.69316","20.71521"
"20.90000","0.69669","21.15154"
"21.00000","0.70011","20.68231"
"21.10000","0.70304","19.39447"
"21.20000","0.70666","20.06189"
"21.30000","0.71029","19.70860"
"21.40000","0.71312","20.19036"
"21.50000","0.71674","20.20289"
"21.60000","0.72017","20.83898"
"21.70000","0.72330","20.78336"
"21.80000","0.72662","20.88285"
"21.90000","0.73015","21.63330"
"22.00000","0.73327","21.73514"
"22.10000","0.73690","21.14371"
"22.20000","0.74043","21.76021"
"22.30000","0.74345","22.26860"
"22.40000","0.74708","21.51658"
"22.50000","0.75051","21.96779"
"22.60000","0.75313","21.80251"
"22.70000","0.75676","22.39629"
"22.80000","0.76039","22.48011"
"22.90000","0.76291","22.70337"
"23.00000","0.76674","22.89764"
"23.10000","0.77027","23.04883"
"23.20000","0.77289","22.87336"
"23.30000","0.77672","21.76099"
"23.40000","0.78014","23.31909"
"23.50000","0.78317","23.57054"
"23.60000","0.78700","23.39899"
"23.70000","0.79022","23.89642"
"23.80000","0.79315","24.53642"
"23.90000","0.79718","23.86039"
"24.00000","0.80030","23.56976"
"24.10000","0.80312","24.07972"
"24.20000","0.80726","24.12986"
"24.30000","0.81018","24.93045"
"24.40000","0.81300","24.27400"
"24.50000","0.81713","24.79728"
"24.60000","0.81996","24.68604"
