General : Start date,"11/2/2020 4:23 PM"
General : End date,"11/2/2020 4:25 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.84668"
"0.10000","0.00020","1.11772"
"0.20000","0.00181","0.66024"
"0.30000","0.00302","-0.56493"
"0.40000","0.00585","3.58921"
"0.50000","0.01260","21.40273"
"0.60000","0.01804","37.02599"
"0.70000","0.02197","50.66109"
"0.80000","0.02560","60.80242"
"0.90000","0.02973","75.77706"
"1.00000","0.03316","86.24897"
"1.10000","0.03679","98.09410"
"1.20000","0.04012","110.58002"
"1.30000","0.04294","119.81422"
"1.40000","0.04677","132.03928"
"1.50000","0.05030","144.36931"
"1.60000","0.05322","154.35475"
"1.70000","0.05695","166.37613"
"1.80000","0.06017","177.62122"
"1.90000","0.06300","186.66035"
"2.00000","0.06693","198.70367"
"2.10000","0.07015","211.47003"
"2.20000","0.07277","218.57272"
"2.30000","0.07680","229.49977"
"2.40000","0.08023","242.00136"
"2.50000","0.08305","251.43530"
"2.60000","0.08719","263.25851"
"2.70000","0.09041","274.80911"
"2.80000","0.09333","283.32654"
"2.90000","0.09696","295.64322"
"3.00000","0.10029","305.37173"
"3.10000","0.10331","314.19781"
"3.20000","0.10714","326.53174"
"3.30000","0.11017","335.58344"
"3.40000","0.11319","344.54739"
"3.50000","0.11672","355.38043"
"3.60000","0.11974","364.30521"
"3.70000","0.12297","374.01804"
"3.80000","0.12680","385.64539"
"3.90000","0.12972","395.27518"
"4.00000","0.13295","404.76947"
"4.10000","0.13748","419.45111"
"4.20000","0.14000","426.86322"
"4.30000","0.14333","436.71631"
"4.40000","0.14736","450.32162"
"4.50000","0.14998","458.53043"
"4.60000","0.15341","468.54172"
"4.70000","0.15744","481.61511"
"4.80000","0.15986","489.67822"
"4.90000","0.16339","498.05701"
"5.00000","0.16742","513.17578"
"5.10000","0.16974","520.08026"
"5.20000","0.17326","530.26471"
"5.30000","0.17699","543.85669"
"5.40000","0.17961","551.12311"
"5.50000","0.18334","561.75952"
"5.60000","0.18697","574.58148"
"5.70000","0.18979","582.55139"
"5.80000","0.19342","593.58966"
"5.90000","0.19695","606.11084"
"6.00000","0.19987","614.71832"
"6.10000","0.20370","626.72876"
"6.20000","0.20703","638.76898"
"6.30000","0.20995","646.87671"
"6.40000","0.21358","656.76892"
"6.50000","0.21711","669.69745"
"6.60000","0.22023","678.74127"
"6.70000","0.22356","689.37769"
"6.80000","0.22689","700.00311"
"6.90000","0.22991","709.77551"
"7.00000","0.23293","718.15820"
"7.10000","0.23676","731.13605"
"7.20000","0.23989","741.20770"
"7.30000","0.24352","751.46729"
"7.40000","0.24684","762.38416"
"7.50000","0.24987","771.05670"
"7.60000","0.25329","780.60028"
"7.70000","0.25692","792.62561"
"7.80000","0.26005","802.14020"
