General : Start date,"11/2/2020 4:08 PM"
General : End date,"11/2/2020 4:09 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-2.02292"
"0.10000","0.00060","-2.16079"
"0.20000","0.00202","-0.41234"
"0.30000","0.00675","12.34697"
"0.40000","0.01210","35.95028"
"0.50000","0.01603","51.54612"
"0.60000","0.01925","62.82175"
"0.70000","0.02288","74.84314"
"0.80000","0.02671","88.58242"
"0.90000","0.02983","100.67431"
"1.00000","0.03316","111.74156"
"1.10000","0.03679","125.70724"
"1.20000","0.03991","135.94336"
"1.30000","0.04354","147.89424"
"1.40000","0.04697","161.54735"
"1.50000","0.04989","171.15288"
"1.60000","0.05352","182.93221"
"1.70000","0.05675","196.23987"
"1.80000","0.05947","204.37032"
"1.90000","0.06330","215.73367"
"2.00000","0.06693","229.49255"
"2.10000","0.06965","236.67435"
"2.20000","0.07328","247.24889"
"2.30000","0.07711","260.54556"
"2.40000","0.07983","268.91888"
"2.50000","0.08336","280.09265"
"2.60000","0.08709","291.11606"
"2.70000","0.08991","300.53671"
"2.80000","0.09374","311.09949"
"2.90000","0.09717","323.02136"
"3.00000","0.09999","331.92422"
"3.10000","0.10331","341.81723"
"3.20000","0.10684","352.83746"
"3.30000","0.10987","362.18527"
"3.40000","0.11349","373.12094"
"3.50000","0.11662","383.38135"
"3.60000","0.11964","392.74710"
"3.70000","0.12337","403.39761"
"3.80000","0.12629","414.11240"
"3.90000","0.12962","423.86832"
"4.00000","0.13375","437.15561"
"4.10000","0.13698","449.04379"
"4.20000","0.14000","457.67795"
"4.30000","0.14383","470.13959"
"4.40000","0.14676","480.06238"
"4.50000","0.15008","490.08701"
"4.60000","0.15401","502.72565"
"4.70000","0.15663","511.70917"
"4.80000","0.15996","522.53906"
"4.90000","0.16399","534.76959"
"5.00000","0.16651","543.82758"
"5.10000","0.16974","552.69360"
"5.20000","0.17367","566.08899"
"5.30000","0.17639","575.08740"
"5.40000","0.17972","584.12341"
"5.50000","0.18355","597.49841"
"5.60000","0.18647","607.19714"
"5.70000","0.18979","616.30609"
"5.80000","0.19352","629.01990"
"5.90000","0.19645","637.88593"
"6.00000","0.19997","647.92389"
"6.10000","0.20391","661.68115"
"6.20000","0.20673","670.78534"
"6.30000","0.21015","680.77704"
"6.40000","0.21388","693.30762"
"6.50000","0.21681","702.00208"
"6.60000","0.21983","710.92297"
"6.70000","0.22336","722.06622"
"6.80000","0.22658","732.26239"
"6.90000","0.23001","743.30688"
"7.00000","0.23334","754.37103"
"7.10000","0.23636","763.34204"
"7.20000","0.23979","773.37213"
"7.30000","0.24352","786.12433"
"7.40000","0.24664","794.50000"
"7.50000","0.24987","804.30762"
"7.60000","0.25370","816.16919"
"7.70000","0.25672","825.84760"
"7.80000","0.25975","833.50409"
