General : Start date,"11/2/2020 3:02 PM"
General : End date,"11/2/2020 3:04 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.59015","1635.45447"
"17.80000","0.59327","1640.64246"
"17.90000","0.59710","1649.39502"
"18.00000","0.60002","1654.02075"
"18.10000","0.60335","1660.68469"
"18.20000","0.60718","1669.50378"
"18.30000","0.61000","1674.25635"
"18.40000","0.61323","1679.94031"
"18.50000","0.61716","1689.13379"
"18.60000","0.61988","1694.65491"
"18.70000","0.62321","1699.12561"
"18.80000","0.62714","1708.48596"
"18.90000","0.62996","1714.15112"
"19.00000","0.63319","1720.03735"
"19.10000","0.63702","1728.86426"
"19.20000","0.64014","1734.99475"
"19.30000","0.64326","1741.22546"
"19.40000","0.64710","1748.67908"
"19.50000","0.65022","1755.10498"
"19.60000","0.65324","1760.62134"
"19.70000","0.65717","1768.98132"
"19.80000","0.66040","1775.25208"
"19.90000","0.66352","1780.45129"
"20.00000","0.66705","1787.84058"
"20.10000","0.67018","1793.69080"
"20.20000","0.67330","1799.40466"
"20.30000","0.67673","1806.72180"
"20.40000","0.68005","1813.51599"
"20.50000","0.68328","1819.88306"
"20.60000","0.68681","1827.43225"
"20.70000","0.69003","1833.74841"
"20.80000","0.69326","1840.05225"
"20.90000","0.69699","1848.19592"
"21.00000","0.70031","1854.94604"
"21.10000","0.70354","1860.33960"
"21.20000","0.70707","1868.24133"
"21.30000","0.71019","1873.01257"
"21.40000","0.71372","1879.64380"
"21.50000","0.71715","1886.26001"
"21.60000","0.72007","1891.24829"
"21.70000","0.72340","1897.37341"
"21.80000","0.72682","1905.33862"
"21.90000","0.72965","1910.34583"
"22.00000","0.73297","1916.35803"
"22.10000","0.73680","1925.03052"
"22.20000","0.73972","1930.19385"
"22.30000","0.74305","1935.94189"
"22.40000","0.74708","1944.87317"
"22.50000","0.75001","1950.42004"
"22.60000","0.75353","1956.43066"
"22.70000","0.75716","1965.23950"
"22.80000","0.75998","1969.93970"
"22.90000","0.76331","1975.46143"
"23.00000","0.76704","1983.72437"
"23.10000","0.76996","1988.97900"
"23.20000","0.77359","1995.78723"
"23.30000","0.77712","2004.40100"
"23.40000","0.77994","2009.36292"
"23.50000","0.78337","2015.71436"
"23.60000","0.78669","2022.74341"
"23.70000","0.78962","2027.34644"
"23.80000","0.79335","2034.30969"
"23.90000","0.79677","2043.03296"
"24.00000","0.79990","2047.82947"
"24.10000","0.80373","2054.80444"
"24.20000","0.80685","2063.11597"
"24.30000","0.81008","2067.22144"
"24.40000","0.81391","2075.82104"
"24.50000","0.81693","2081.95483"
"24.60000","0.81996","2087.00757"
"24.70000","0.82389","2094.52930"
"24.80000","0.82691","2102.50854"
"24.90000","0.83004","2106.04077"
"25.00000","0.83407","2115.14893"
"25.10000","0.83689","2120.66528"
"25.20000","0.84001","2124.20386"
"25.30000","0.84384","2132.80420"
"25.40000","0.84657","2137.31396"
"25.50000","0.84979","2142.78101"
"25.60000","0.85352","2151.43945"
"25.70000","0.85654","2157.52686"
"25.80000","0.85967","2162.75806"
"25.90000","0.86360","2170.91992"
"26.00000","0.86693","2178.66333"
"26.10000","0.87015","2183.73267"
"26.20000","0.87388","2191.25586"
"26.30000","0.87701","2197.67139"
"26.40000","0.88003","2203.23193"
"26.50000","0.88366","2209.61597"
"26.60000","0.88698","2216.65063"
"26.70000","0.89021","2222.61597"
"26.80000","0.89364","2228.70337"
"26.90000","0.89676","2235.43726"
"27.00000","0.89999","2241.17065"
"27.10000","0.90331","2248.34839"
"27.20000","0.90654","2253.10034"
"27.30000","0.90986","2260.57593"
"27.40000","0.91349","2267.80225"
"27.50000","0.91662","2273.71826"
"27.60000","0.91984","2278.52808"
"27.70000","0.92357","2286.01050"
"27.80000","0.92690","2293.18140"
"27.90000","0.92992","2297.64111"
"28.00000","0.93375","2305.75342"
"28.10000","0.93688","2311.24658"
"28.20000","0.94000","2316.78955"
"28.30000","0.94363","2325.12354"
"28.40000","0.94665","2329.78613"
"28.50000","0.94988","2336.51831"
"28.60000","0.95371","2343.67188"
"28.70000","0.95663","2349.15698"
"28.80000","0.95986","2354.15869"
"28.90000","0.96369","2362.08862"
"29.00000","0.96671","2368.49805"
"29.10000","0.96984","2372.56299"
"29.20000","0.97357","2381.18457"
"29.30000","0.97669","2387.98560"
"29.40000","0.98012","2392.85181"
"29.50000","0.98385","2402.42041"
"29.60000","0.98677","2406.66406"
"29.70000","0.99010","2412.35205"
"29.80000","0.99372","2420.07739"
"29.90000","0.99655","2425.38062"
"30.00000","1.00018","2431.43530"
"30.10000","1.00380","2439.77246"
"30.20000","1.00653","2442.99463"
"30.30000","1.01015","2449.94580"
"30.40000","1.01348","2457.60010"
"30.50000","1.01630","2461.63916"
"30.60000","1.02023","2468.66748"
"30.70000","1.02376","2477.47998"
"30.80000","1.02648","2480.59790"
"30.90000","1.03011","2486.89062"
"31.00000","1.03364","2495.95947"
"31.10000","1.03666","2501.14697"
"31.20000","1.04029","2507.74585"
"31.30000","1.04362","2515.70239"
"31.40000","1.04674","2520.41284"
"31.50000","1.05057","2529.24365"
"31.60000","1.05360","2534.47021"
"31.70000","1.05672","2538.99951"
"31.80000","1.06055","2546.64429"
"31.90000","1.06337","2551.83179"
"32.00000","1.06650","2557.05347"
"32.10000","1.07033","2565.18481"
"32.20000","1.07315","2571.01685"
"32.30000","1.07638","2576.60522"
"32.40000","1.08010","2584.61206"
"32.50000","1.08333","2590.28125"
"32.60000","1.08666","2596.08887"
"32.70000","1.09028","2603.91235"
"32.80000","1.09341","2610.25195"
"32.90000","1.09684","2616.21411"
"33.00000","1.10067","2624.65869"
"33.10000","1.10369","2630.80176"
"33.20000","1.10681","2635.83960"
"33.30000","1.11044","2642.58032"
"33.40000","1.11367","2648.62769"
"33.50000","1.11679","2653.90381"
"33.60000","1.12032","2661.71851"
"33.70000","1.12345","2666.81885"
"33.80000","1.12647","2673.30127"
"33.90000","1.13000","2679.09399"
"34.00000","1.13322","2685.31787"
"34.10000","1.13645","2692.02026"
"34.20000","1.14018","2699.00854"
"34.30000","1.14350","2705.97339"
"34.40000","1.14673","2711.63721"
"34.50000","1.15036","2718.84082"
"34.60000","1.15368","2724.74414"
"34.70000","1.15681","2729.98315"
"34.80000","1.16044","2737.70166"
"34.90000","1.16346","2742.83813"
"35.00000","1.16669","2749.02905"
"35.10000","1.17031","2756.76538"
"35.20000","1.17334","2762.15088"
