General : Start date,"11/2/2020 3:34 PM"
General : End date,"11/2/2020 3:35 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.59005","1506.67603"
"17.80000","0.59347","1514.47278"
"17.90000","0.59660","1520.18884"
"18.00000","0.60002","1526.59521"
"18.10000","0.60335","1533.67285"
"18.20000","0.60658","1539.39600"
"18.30000","0.61000","1546.57629"
"18.40000","0.61333","1552.59875"
"18.50000","0.61655","1558.98230"
"18.60000","0.62018","1565.52405"
"18.70000","0.62341","1571.75562"
"18.80000","0.62663","1577.72803"
"18.90000","0.63036","1585.44019"
"19.00000","0.63349","1591.88867"
"19.10000","0.63651","1596.85449"
"19.20000","0.64014","1604.09412"
"19.30000","0.64326","1609.19617"
"19.40000","0.64649","1614.89197"
"19.50000","0.65032","1623.66797"
"19.60000","0.65324","1628.89990"
"19.70000","0.65627","1632.32629"
"19.80000","0.66030","1642.36816"
"19.90000","0.66312","1646.37659"
"20.00000","0.66604","1651.41211"
"20.10000","0.67008","1659.51733"
"20.20000","0.67320","1665.72876"
"20.30000","0.67653","1671.06335"
"20.40000","0.68005","1678.57874"
"20.50000","0.68308","1683.69019"
"20.60000","0.68630","1688.03162"
"20.70000","0.69044","1698.32483"
"20.80000","0.69346","1704.28943"
"20.90000","0.69658","1708.56812"
"21.00000","0.70042","1716.93970"
"21.10000","0.70354","1721.45422"
"21.20000","0.70666","1727.31299"
"21.30000","0.71029","1735.46692"
"21.40000","0.71322","1739.50586"
"21.50000","0.71654","1745.52686"
"21.60000","0.72007","1753.22803"
"21.70000","0.72279","1757.18164"
"21.80000","0.72642","1762.58044"
"21.90000","0.73005","1771.66663"
"22.00000","0.73297","1775.18469"
"22.10000","0.73660","1781.11230"
"22.20000","0.74013","1789.62598"
"22.30000","0.74305","1794.04395"
"22.40000","0.74678","1800.31250"
"22.50000","0.75021","1807.82642"
"22.60000","0.75303","1811.53870"
"22.70000","0.75666","1818.30847"
"22.80000","0.76019","1826.01196"
"22.90000","0.76321","1829.96240"
"23.00000","0.76704","1836.10938"
"23.10000","0.77016","1843.50977"
"23.20000","0.77299","1846.03149"
"23.30000","0.77672","1853.69739"
"23.40000","0.77994","1861.16748"
"23.50000","0.78286","1864.10510"
"23.60000","0.78659","1871.15991"
"23.70000","0.79002","1878.40906"
"23.80000","0.79315","1882.69800"
"23.90000","0.79677","1889.61890"
"24.00000","0.80000","1895.83728"
"24.10000","0.80312","1900.10107"
"24.20000","0.80665","1906.73523"
"24.30000","0.81038","1914.23816"
"24.40000","0.81351","1919.33630"
"24.50000","0.81683","1924.66150"
"24.60000","0.81996","1929.91479"
"24.70000","0.82338","1935.33325"
"24.80000","0.82711","1941.90552"
"24.90000","0.83014","1946.78589"
"25.00000","0.83306","1950.51221"
"25.10000","0.83669","1956.84119"
"25.20000","0.83981","1961.78943"
"25.30000","0.84294","1966.08228"
"25.40000","0.84667","1973.42322"
"25.50000","0.84999","1979.87329"
"25.60000","0.85312","1983.32239"
"25.70000","0.85685","1990.43457"
"25.80000","0.86007","1995.97217"
"25.90000","0.86320","2000.14038"
"26.00000","0.86683","2006.03442"
"26.10000","0.87005","2012.88318"
"26.20000","0.87328","2017.15088"
"26.30000","0.87680","2023.26660"
"26.40000","0.88013","2028.81360"
"26.50000","0.88346","2033.74329"
"26.60000","0.88708","2039.64648"
"26.70000","0.88991","2043.80774"
"26.80000","0.89303","2047.83105"
"26.90000","0.89686","2055.27197"
"27.00000","0.89968","2059.07153"
"27.10000","0.90291","2063.29053"
"27.20000","0.90674","2070.80835"
"27.30000","0.90966","2076.27393"
"27.40000","0.91309","2080.05054"
"27.50000","0.91712","2088.67456"
"27.60000","0.91994","2091.76709"
"27.70000","0.92327","2096.23999"
"27.80000","0.92710","2104.10718"
"27.90000","0.92992","2108.30225"
"28.00000","0.93315","2112.41162"
"28.10000","0.93688","2120.32446"
"28.20000","0.93970","2123.24316"
"28.30000","0.94313","2127.47314"
"28.40000","0.94706","2136.91602"
"28.50000","0.94968","2138.78589"
"28.60000","0.95290","2142.71753"
"28.70000","0.95663","2150.44604"
"28.80000","0.95976","2154.90186"
"28.90000","0.96328","2159.94482"
"29.00000","0.96671","2167.05396"
"29.10000","0.96984","2170.73657"
"29.20000","0.97357","2176.70508"
"29.30000","0.97679","2181.79980"
"29.40000","0.98002","2185.82861"
"29.50000","0.98375","2192.74487"
"29.60000","0.98677","2197.99658"
"29.70000","0.98959","2200.61304"
"29.80000","0.99352","2207.55908"
"29.90000","0.99665","2214.38745"
"30.00000","0.99957","2216.72974"
"30.10000","1.00350","2224.38452"
"30.20000","1.00663","2229.64185"
"30.30000","1.00955","2232.52075"
"30.40000","1.01348","2239.70874"
"30.50000","1.01671","2246.63428"
"30.60000","1.01963","2250.01465"
"30.70000","1.02336","2256.19849"
"30.80000","1.02668","2262.15503"
"30.90000","1.02981","2266.12109"
"31.00000","1.03364","2272.25879"
"31.10000","1.03707","2278.86475"
"31.20000","1.04009","2283.29541"
"31.30000","1.04352","2288.61450"
"31.40000","1.04684","2293.98047"
"31.50000","1.04997","2299.23047"
"31.60000","1.05339","2305.02734"
"31.70000","1.05662","2309.84399"
"31.80000","1.05974","2314.91162"
"31.90000","1.06317","2320.26587"
"32.00000","1.06650","2324.94409"
"32.10000","1.06982","2331.23071"
"32.20000","1.07325","2336.48218"
"32.30000","1.07648","2341.90381"
"32.40000","1.08000","2347.32935"
"32.50000","1.08353","2353.49268"
"32.60000","1.08645","2358.50073"
"32.70000","1.08968","2362.12231"
"32.80000","1.09361","2369.89697"
"32.90000","1.09684","2376.04858"
"33.00000","1.10006","2378.97217"
"33.10000","1.10379","2385.80322"
"33.20000","1.10681","2391.03271"
"33.30000","1.10974","2393.54956"
"33.40000","1.11367","2401.32837"
"33.50000","1.11669","2406.07959"
"33.60000","1.11962","2409.32324"
"33.70000","1.12345","2416.52393"
"33.80000","1.12627","2420.77905"
"33.90000","1.12939","2423.59766"
"34.00000","1.13353","2432.06274"
"34.10000","1.13665","2437.71289"
"34.20000","1.13977","2441.00146"
"34.30000","1.14371","2449.11694"
"34.40000","1.14673","2454.08130"
"34.50000","1.14995","2457.62744"
"34.60000","1.15378","2465.80737"
"34.70000","1.15681","2469.42407"
"34.80000","1.16003","2473.79810"
"34.90000","1.16366","2481.75952"
"35.00000","1.16648","2484.01025"
"35.10000","1.16981","2489.65479"
"35.20000","1.17334","2496.71533"
"35.30000","1.17616","2500.33594"
"35.40000","1.17969","2504.76367"
"35.50000","1.18332","2512.09424"
"35.60000","1.18624","2516.47876"
"35.70000","1.18997","2522.29907"
"35.80000","1.19360","2530.15918"
"35.90000","1.19642","2532.97217"
"36.00000","1.20015","2538.51221"
"36.10000","1.20358","2545.66016"
"36.20000","1.20640","2548.60645"
"36.30000","1.21003","2554.38379"
"36.40000","1.21376","2561.49194"
"36.50000","1.21668","2566.16064"
"36.60000","1.22021","2570.81226"
"36.70000","1.22343","2577.36182"
"36.80000","1.22646","2580.86279"
"36.90000","1.23019","2587.62695"
"37.00000","1.23331","2593.58350"
"37.10000","1.23623","2595.83496"
"37.20000","1.23986","2601.65698"
"37.30000","1.24319","2608.88867"
"37.40000","1.24631","2612.61060"
"37.50000","1.25004","2619.35693"
"37.60000","1.25347","2625.65503"
"37.70000","1.25670","2629.61182"
"37.80000","1.26012","2634.88770"
"37.90000","1.26335","2641.66455"
"38.00000","1.26667","2645.42383"
"38.10000","1.27010","2650.99341"
"38.20000","1.27343","2657.03174"
"38.30000","1.27675","2662.21045"
"38.40000","1.28018","2668.01123"
"38.50000","1.28341","2672.45190"
"38.60000","1.28643","2677.26953"
"38.70000","1.28996","2683.15015"
"38.80000","1.29318","2688.92041"
"38.90000","1.29621","2692.64844"
"39.00000","1.29994","2699.42993"
"39.10000","1.30326","2705.81738"
"39.20000","1.30639","2710.50586"
"39.30000","1.31022","2715.90771"
"39.40000","1.31354","2723.12573"
"39.50000","1.31667","2728.08032"
"39.60000","1.32040","2734.63306"
"39.70000","1.32352","2739.61694"
"39.80000","1.32655","2743.59888"
"39.90000","1.33017","2750.07251"
"40.00000","1.33340","2755.20654"
"40.10000","1.33632","2758.50684"
"40.20000","1.34015","2765.30225"
"40.30000","1.34328","2770.86035"
"40.40000","1.34630","2774.92285"
"40.50000","1.35033","2783.29468"
"40.60000","1.35326","2786.92163"
"40.70000","1.35608","2790.60327"
"40.80000","1.36001","2797.20850"
"40.90000","1.36333","2803.66577"
"41.00000","1.36656","2807.90112"
"41.10000","1.37039","2815.35645"
"41.20000","1.37331","2819.72925"
"41.30000","1.37654","2823.81055"
"41.40000","1.38027","2830.47754"
"41.50000","1.38319","2834.13501"
"41.60000","1.38642","2838.17261"
"41.70000","1.39025","2847.18750"
"41.80000","1.39307","2850.54883"
"41.90000","1.39640","2855.07349"
"42.00000","1.40023","2863.17407"
"42.10000","1.40305","2867.70679"
"42.20000","1.40637","2871.81763"
"42.30000","1.41010","2879.69287"
"42.40000","1.41293","2882.87402"
"42.50000","1.41645","2888.06689"
"42.60000","1.42008","2895.61450"
"42.70000","1.42321","2899.89307"
"42.80000","1.42683","2905.77686"
"42.90000","1.43016","2911.79541"
"43.00000","1.43308","2915.60962"
"43.10000","1.43681","2921.61255"
"43.20000","1.44014","2928.06592"
"43.30000","1.44306","2932.56616"
"43.40000","1.44679","2938.39844"
"43.50000","1.45002","2944.34473"
"43.60000","1.45304","2947.52832"
"43.70000","1.45677","2954.33887"
"43.80000","1.45990","2959.81836"
"43.90000","1.46282","2963.23853"
"44.00000","1.46665","2969.70581"
"44.10000","1.46997","2976.02759"
"44.20000","1.47300","2979.74780"
"44.30000","1.47663","2985.48901"
"44.40000","1.47995","2991.55688"
"44.50000","1.48348","2997.62793"
"44.60000","1.48711","3003.94873"
"44.70000","1.49003","3009.00684"
"44.80000","1.49306","3012.33130"
"44.90000","1.49689","3018.43774"
"45.00000","1.50051","3026.25415"
"45.10000","1.50344","3030.07129"
"45.20000","1.50676","3034.28735"
"45.30000","1.51009","3040.76978"
"45.40000","1.51311","3044.64111"
"45.50000","1.51654","3049.07642"
"45.60000","1.51997","3055.28540"
"45.70000","1.52319","3060.13818"
"45.80000","1.52662","3066.27173"
"45.90000","1.52995","3071.54224"
"46.00000","1.53307","3076.24219"
"46.10000","1.53670","3082.65186"
"46.20000","1.54023","3089.53979"
"46.30000","1.54345","3093.94214"
"46.40000","1.54698","3099.94678"
"46.50000","1.55000","3104.76978"
"46.60000","1.55333","3108.92163"
"46.70000","1.55716","3116.89624"
"46.80000","1.56008","3120.78247"
"46.90000","1.56311","3124.77368"
"47.00000","1.56694","3132.03735"
"47.10000","1.56986","3136.91504"
"47.20000","1.57278","3139.32520"
"47.30000","1.57682","3148.00073"
"47.40000","1.57994","3153.44434"
"47.50000","1.58276","3155.64502"
"47.60000","1.58700","3164.23291"
"47.70000","1.59002","3169.33105"
"47.80000","1.59294","3172.81592"
"47.90000","1.59718","3181.32227"
"48.00000","1.60000","3185.76880"
"48.10000","1.60292","3187.59644"
"48.20000","1.60695","3195.89307"
"48.30000","1.61008","3202.04761"
"48.40000","1.61310","3205.19849"
"48.50000","1.61713","3213.55273"
