General : Start date,"11/4/2020 1:32 PM"
General : End date,"11/4/2020 1:40 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.33515"
"0.10000","0.00030","-0.43019"
"0.20000","0.00121","-0.50069"
"0.30000","0.00494","-0.23122"
"0.40000","0.01280","0.35551"
"0.50000","0.01643","1.00335"
"0.60000","0.01915","0.21843"
"0.70000","0.02248","-0.28057"
"0.80000","0.02651","0.14558"
"0.90000","0.03024","-0.30721"
"1.00000","0.03296","-0.04791"
"1.10000","0.03649","0.41035"
"1.20000","0.04032","0.58896"
"1.30000","0.04314","0.52864"
"1.40000","0.04677","-0.14113"
"1.50000","0.05040","1.35195"
"1.60000","0.05322","-0.40434"
"1.70000","0.05685","0.56389"
"1.80000","0.06058","0.70881"
"1.90000","0.06330","0.13618"
"2.00000","0.06713","0.38058"
"2.10000","0.07056","0.07116"
"2.20000","0.07328","0.29441"
"2.30000","0.07711","-0.01188"
"2.40000","0.08033","0.70646"
"2.50000","0.08295","0.91875"
"2.60000","0.08678","0.49104"
"2.70000","0.09011","0.58112"
"2.80000","0.09293","0.06254"
"2.90000","0.09686","0.65946"
"3.00000","0.10029","1.81334"
"3.10000","0.10311","1.25559"
"3.20000","0.10704","1.08874"
"3.30000","0.11027","1.32139"
"3.40000","0.11329","1.77731"
"3.50000","0.11753","1.97785"
"3.60000","0.12025","2.57633"
"3.70000","0.12297","2.93511"
"3.80000","0.12730","1.83136"
"3.90000","0.13023","2.28962"
"4.00000","0.13315","1.47728"
"4.10000","0.13708","2.88341"
"4.20000","0.13980","1.63474"
"4.30000","0.14272","2.38676"
"4.40000","0.14686","2.98916"
"4.50000","0.14988","2.70793"
"4.60000","0.15300","3.45212"
"4.70000","0.15724","2.39068"
"4.80000","0.16026","3.15993"
"4.90000","0.16349","3.19832"
"5.00000","0.16732","4.56370"
"5.10000","0.17014","4.36552"
"5.20000","0.17326","3.74118"
"5.30000","0.17709","3.49834"
"5.40000","0.17982","3.36674"
"5.50000","0.18314","3.63778"
"5.60000","0.18717","3.97775"
"5.70000","0.19010","4.03886"
"5.80000","0.19342","4.71568"
"5.90000","0.19695","4.77443"
"6.00000","0.19967","4.65222"
"6.10000","0.20310","4.71333"
"6.20000","0.20673","4.10309"
"6.30000","0.20975","4.13286"
"6.40000","0.21348","5.79514"
"6.50000","0.21711","6.52993"
"6.60000","0.22003","5.45360"
"6.70000","0.22376","6.43044"
"6.80000","0.22709","5.47553"
"6.90000","0.23001","4.90525"
"7.00000","0.23364","5.60557"
"7.10000","0.23697","7.17385"
"7.20000","0.23979","7.10178"
"7.30000","0.24352","6.84719"
"7.40000","0.24684","6.48841"
"7.50000","0.24967","6.23069"
"7.60000","0.25370","6.59887"
"7.70000","0.25702","7.72063"
"7.80000","0.25975","8.00186"
