General : Start date,"11/2/2020 3:17 PM"
General : End date,"11/2/2020 3:19 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.13873"
"0.10000","0.00071","-0.77090"
"0.20000","0.00242","-1.36155"
"0.30000","0.00494","-0.50926"
"0.40000","0.00675","-0.36512"
"0.50000","0.00867","0.82010"
"0.60000","0.01381","16.69560"
"0.70000","0.02086","42.54636"
"0.80000","0.02520","60.95601"
"0.90000","0.02913","73.43880"
"1.00000","0.03296","88.24188"
"1.10000","0.03629","98.95114"
"1.20000","0.04012","112.51183"
"1.30000","0.04314","122.30534"
"1.40000","0.04626","132.22264"
"1.50000","0.05020","144.85661"
"1.60000","0.05322","156.04294"
"1.70000","0.05624","165.76125"
"1.80000","0.06017","176.53476"
"1.90000","0.06340","188.85223"
"2.00000","0.06652","197.68066"
"2.10000","0.07045","210.49168"
"2.20000","0.07398","222.29999"
"2.30000","0.07670","231.08376"
"2.40000","0.08033","242.10872"
"2.50000","0.08346","252.29706"
"2.60000","0.08658","263.06741"
"2.70000","0.09031","273.38812"
"2.80000","0.09344","284.01044"
"2.90000","0.09656","293.86115"
"3.00000","0.10009","304.02130"
"3.10000","0.10321","315.26245"
"3.20000","0.10644","325.79544"
"3.30000","0.11007","336.17572"
"3.40000","0.11339","347.23514"
"3.50000","0.11632","356.97696"
"3.60000","0.12005","367.50607"
"3.70000","0.12357","379.55798"
"3.80000","0.12690","389.86929"
"3.90000","0.13053","401.93378"
"4.00000","0.13345","410.93686"
"4.10000","0.13708","423.15329"
"4.20000","0.14030","433.18182"
"4.30000","0.14323","442.74979"
"4.40000","0.14635","452.59418"
"4.50000","0.15028","465.25244"
"4.60000","0.15321","476.15991"
"4.70000","0.15633","485.24527"
"4.80000","0.16016","497.37399"
"4.90000","0.16298","506.64734"
"5.00000","0.16611","515.77191"
"5.10000","0.17024","530.05090"
"5.20000","0.17326","539.55853"
"5.30000","0.17639","550.25836"
"5.40000","0.18042","562.49988"
"5.50000","0.18334","572.93420"
"5.60000","0.18657","582.45197"
"5.70000","0.19040","596.54919"
"5.80000","0.19332","606.28320"
"5.90000","0.19665","615.55109"
"6.00000","0.20028","628.98883"
"6.10000","0.20320","638.69220"
"6.20000","0.20693","649.68195"
"6.30000","0.21026","662.45612"
"6.40000","0.21298","669.99438"
"6.50000","0.21620","680.46472"
"6.60000","0.21983","692.62323"
"6.70000","0.22285","702.09393"
"6.80000","0.22668","713.34222"
"6.90000","0.23021","725.95581"
"7.00000","0.23324","735.99371"
"7.10000","0.23697","747.44092"
"7.20000","0.24009","757.67932"
"7.30000","0.24301","767.54651"
"7.40000","0.24694","780.03162"
"7.50000","0.24997","790.55365"
"7.60000","0.25289","798.88470"
"7.70000","0.25702","811.02124"
"7.80000","0.26035","822.82172"
