General : Start date,"11/2/2020 3:58 PM"
General : End date,"11/2/2020 4:00 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-3.02901"
"0.10000","0.00060","-3.43635"
"0.20000","0.00222","-1.94093"
"0.30000","0.00675","10.52854"
"0.40000","0.01179","30.57541"
"0.50000","0.01582","48.84093"
"0.60000","0.01915","59.83064"
"0.70000","0.02288","73.98274"
"0.80000","0.02661","88.46074"
"0.90000","0.02983","100.91610"
"1.00000","0.03326","113.34796"
"1.10000","0.03689","126.97524"
"1.20000","0.03981","139.33739"
"1.30000","0.04354","152.02226"
"1.40000","0.04717","167.17316"
"1.50000","0.04979","176.84996"
"1.60000","0.05282","186.50327"
"1.70000","0.05695","202.63100"
"1.80000","0.05967","214.61165"
"1.90000","0.06330","223.46515"
"2.00000","0.06693","237.96819"
"2.10000","0.06965","246.21538"
"2.20000","0.07338","258.56186"
"2.30000","0.07701","272.37085"
"2.40000","0.07973","282.31400"
"2.50000","0.08346","293.74866"
"2.60000","0.08709","307.67752"
"2.70000","0.08991","317.49219"
"2.80000","0.09374","329.56995"
"2.90000","0.09717","342.44992"
"3.00000","0.09979","352.09381"
"3.10000","0.10331","362.69653"
"3.20000","0.10694","376.04572"
"3.30000","0.10987","386.83411"
"3.40000","0.11349","398.35648"
"3.50000","0.11662","410.94263"
"3.60000","0.11964","420.72913"
"3.70000","0.12337","433.54956"
"3.80000","0.12640","445.56073"
"3.90000","0.12962","455.79999"
"4.00000","0.13385","471.57285"
"4.10000","0.13708","484.40112"
"4.20000","0.13970","493.26401"
"4.30000","0.14363","506.77847"
"4.40000","0.14676","519.23224"
"4.50000","0.14998","529.65405"
"4.60000","0.15391","544.42419"
"4.70000","0.15663","554.54675"
"4.80000","0.15986","564.82831"
"4.90000","0.16399","580.45862"
"5.00000","0.16651","590.73779"
"5.10000","0.16974","600.50787"
"5.20000","0.17357","615.21381"
"5.30000","0.17639","625.86505"
"5.40000","0.17982","636.55084"
"5.50000","0.18355","651.61169"
"5.60000","0.18596","659.84155"
"5.70000","0.18959","670.29077"
"5.80000","0.19362","686.95123"
"5.90000","0.19665","697.26251"
"6.00000","0.19997","708.58673"
"6.10000","0.20380","722.84534"
"6.20000","0.20673","733.54681"
"6.30000","0.21005","744.65717"
"6.40000","0.21368","758.10577"
"6.50000","0.21681","769.38379"
"6.60000","0.22003","781.15295"
"6.70000","0.22336","793.48926"
"6.80000","0.22658","804.37634"
"6.90000","0.22991","814.92810"
"7.00000","0.23324","828.70734"
"7.10000","0.23646","839.97986"
"7.20000","0.23989","851.70905"
"7.30000","0.24352","864.39551"
"7.40000","0.24664","875.06323"
"7.50000","0.24997","886.89429"
"7.60000","0.25350","900.30768"
"7.70000","0.25652","911.36163"
"7.80000","0.25964","921.29297"
