General : Start date,"11/4/2020 2:14 PM"
General : End date,"11/4/2020 2:34 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.30000","0.61000","4.81690"
"18.40000","0.61393","5.07776"
"18.50000","0.61716","6.08359"
"18.60000","0.61988","5.24148"
"18.70000","0.62371","5.94493"
"18.80000","0.62673","5.70522"
"18.90000","0.62936","4.91795"
"19.00000","0.63339","5.48667"
"19.10000","0.63692","5.86581"
"19.20000","0.63974","4.84902"
"19.30000","0.64377","5.07306"
"19.40000","0.64699","5.80628"
"19.50000","0.65002","5.37073"
"19.60000","0.65395","5.60496"
"19.70000","0.65697","5.39971"
"19.80000","0.65990","5.94493"
"19.90000","0.66383","5.41225"
"20.00000","0.66685","5.56579"
"20.10000","0.66977","5.65117"
"20.20000","0.67391","5.89166"
"20.30000","0.67693","6.14234"
"20.40000","0.67985","6.03345"
"20.50000","0.68348","6.54968"
"20.60000","0.68651","5.36603"
"20.70000","0.68963","6.00447"
"20.80000","0.69346","6.02092"
"20.90000","0.69658","5.74361"
"21.00000","0.69991","6.27472"
"21.10000","0.70374","6.13529"
"21.20000","0.70666","5.94571"
"21.30000","0.71009","5.85798"
"21.40000","0.71382","6.32016"
"21.50000","0.71654","6.31702"
"21.60000","0.71997","5.42635"
"21.70000","0.72380","6.12824"
"21.80000","0.72682","6.15487"
"21.90000","0.72995","5.95042"
"22.00000","0.73358","6.80506"
"22.10000","0.73650","6.32956"
"22.20000","0.73993","7.07218"
"22.30000","0.74366","6.72359"
"22.40000","0.74658","6.24182"
"22.50000","0.74970","6.27629"
"22.60000","0.75353","6.10944"
"22.70000","0.75666","6.77137"
"22.80000","0.75998","6.38831"
"22.90000","0.76371","6.60765"
"23.00000","0.76684","7.19673"
"23.10000","0.77016","6.66484"
"23.20000","0.77379","6.54577"
"23.30000","0.77672","5.98488"
"23.40000","0.78004","6.67267"
"23.50000","0.78377","6.82386"
"23.60000","0.78669","6.17054"
"23.70000","0.78992","5.99193"
"23.80000","0.79365","6.72437"
"23.90000","0.79657","6.51443"
"24.00000","0.80000","5.93867"
"24.10000","0.80363","6.85049"
"24.20000","0.80615","7.11135"
"24.30000","0.80957","6.05460"
"24.40000","0.81340","6.78547"
"24.50000","0.81643","5.96608"
"24.60000","0.82016","6.21911"
"24.70000","0.82379","7.53201"
"24.80000","0.82681","6.64290"
"24.90000","0.83074","6.89436"
"25.00000","0.83387","7.46543"
"25.10000","0.83649","6.44550"
"25.20000","0.84042","6.22616"
"25.30000","0.84364","7.17872"
"25.40000","0.84657","6.39771"
"25.50000","0.85030","7.04633"
"25.60000","0.85342","7.28760"
"25.70000","0.85604","6.57553"
"25.80000","0.86017","6.11100"
"25.90000","0.86370","6.98680"
"26.00000","0.86622","6.92726"
"26.10000","0.87025","6.52853"
"26.20000","0.87368","6.94449"
"26.30000","0.87660","6.99071"
"26.40000","0.88053","7.28290"
"26.50000","0.88376","6.96956"
"26.60000","0.88668","6.84031"
"26.70000","0.89051","6.48858"
"26.80000","0.89333","7.37926"
"26.90000","0.89626","6.91629"
"27.00000","0.90019","7.06983"
"27.10000","0.90362","6.93431"
"27.20000","0.90664","7.12153"
"27.30000","0.91017","6.79722"
"27.40000","0.91339","7.91037"
"27.50000","0.91642","7.48736"
"27.60000","0.92025","6.65152"
"27.70000","0.92327","7.70905"
"27.80000","0.92650","7.96521"
"27.90000","0.93043","7.33852"
"28.00000","0.93335","7.48579"
"28.10000","0.93657","6.94058"
"28.20000","0.94051","7.37377"
"28.30000","0.94353","8.37804"
"28.40000","0.94675","7.14190"
"28.50000","0.95048","7.26567"
"28.60000","0.95351","7.26959"
"28.70000","0.95673","7.53514"
"28.80000","0.96026","7.78112"
"28.90000","0.96318","8.09759"
"29.00000","0.96641","8.18611"
"29.10000","0.97034","8.00359"
"29.20000","0.97336","7.92604"
"29.30000","0.97629","7.49441"
"29.40000","0.98042","7.93309"
"29.50000","0.98354","8.24957"
"29.60000","0.98657","7.93622"
"29.70000","0.99040","8.25113"
"29.80000","0.99342","8.50181"
"29.90000","0.99675","8.99532"
"30.00000","1.00048","8.48144"
"30.10000","1.00350","9.01647"
"30.20000","1.00683","8.15635"
"30.30000","1.01056","9.19743"
"30.40000","1.01348","9.83038"
"30.50000","1.01671","8.35297"
"30.60000","1.02043","8.69451"
"30.70000","1.02316","8.63106"
"30.80000","1.02648","8.04668"
"30.90000","1.03021","8.51904"
"31.00000","1.03293","9.24834"
"31.10000","1.03666","8.59894"
"31.20000","1.04059","8.71958"
"31.30000","1.04311","8.54567"
"31.40000","1.04694","8.88722"
"31.50000","1.05057","8.37725"
"31.60000","1.05329","8.95929"
"31.70000","1.05712","8.82611"
"31.80000","1.06045","8.87782"
"31.90000","1.06307","8.54332"
"32.00000","1.06710","8.59503"
"32.10000","1.07053","9.15591"
"32.20000","1.07305","8.90053"
"32.30000","1.07688","8.61696"
"32.40000","1.08010","9.14416"
"32.50000","1.08262","8.78616"
"32.60000","1.08656","7.26959"
"32.70000","1.09028","8.53862"
"32.80000","1.09301","8.63498"
"32.90000","1.09704","8.03336"
"33.00000","1.10047","8.37647"
"33.10000","1.10319","8.84648"
"33.20000","1.10722","9.03997"
"33.30000","1.11034","8.98827"
"33.40000","1.11317","8.97574"
"33.50000","1.11710","8.87625"
"33.60000","1.12002","9.07209"
"33.70000","1.12294","8.47987"
"33.80000","1.12707","8.32555"
"33.90000","1.13040","9.24600"
"34.00000","1.13332","9.14808"
"34.10000","1.13695","9.50058"
"34.20000","1.14008","9.04076"
"34.30000","1.14300","8.53706"
"34.40000","1.14683","7.98871"
"34.50000","1.14995","8.90837"
"34.60000","1.15308","8.28325"
"34.70000","1.15721","8.84100"
"34.80000","1.16024","8.24486"
"34.90000","1.16336","8.82141"
"35.00000","1.16719","9.75909"
"35.10000","1.17021","9.48100"
"35.20000","1.17364","8.33887"
"35.30000","1.17717","8.66709"
"35.40000","1.17999","9.78651"
"35.50000","1.18342","9.03370"
"35.60000","1.18705","8.94284"
"35.70000","1.18997","8.98044"
"35.80000","1.19320","8.68903"
"35.90000","1.19703","10.08889"
"36.00000","1.20015","10.34818"
"36.10000","1.20327","8.84962"
"36.20000","1.20690","9.00864"
"36.30000","1.20993","9.76693"
"36.40000","1.21325","9.51704"
"36.50000","1.21688","9.61339"
"36.60000","1.22001","9.55777"
"36.70000","1.22343","8.65848"
"36.80000","1.22726","9.75596"
"36.90000","1.23029","10.35523"
"37.00000","1.23361","10.72105"
"37.10000","1.23714","10.51112"
"37.20000","1.23996","10.37951"
"37.30000","1.24319","10.92238"
"37.40000","1.24692","10.26201"
"37.50000","1.25014","10.36463"
"37.60000","1.25317","9.74813"
"37.70000","1.25700","10.23694"
"37.80000","1.25972","10.06930"
"37.90000","1.26305","10.04737"
"38.00000","1.26698","10.15077"
"38.10000","1.26990","10.23694"
"38.20000","1.27343","10.29569"
"38.30000","1.27716","10.11395"
"38.40000","1.28008","10.70617"
"38.50000","1.28391","10.56830"
"38.60000","1.28734","10.88791"
"38.70000","1.28996","10.67249"
"38.80000","1.29389","11.07200"
"38.90000","1.29711","10.70069"
"39.00000","1.29963","10.67719"
"39.10000","1.30346","10.63410"
"39.20000","1.30699","10.69912"
"39.30000","1.30961","11.41511"
"39.40000","1.31324","10.25339"
"39.50000","1.31707","10.39753"
"39.60000","1.31989","10.09985"
"39.70000","1.32372","9.92830"
"39.80000","1.32715","9.92595"
"39.90000","1.32967","10.50563"
"40.00000","1.33350","10.29726"
"40.10000","1.33713","10.90358"
"40.20000","1.33995","10.35914"
"40.30000","1.34368","10.47900"
"40.40000","1.34701","10.48370"
"40.50000","1.34973","10.21971"
"40.60000","1.35366","9.82959"
"40.70000","1.35698","10.78764"
"40.80000","1.35991","10.55342"
"40.90000","1.36354","10.94196"
"41.00000","1.36656","11.27175"
"41.10000","1.36958","10.94118"
"41.20000","1.37341","10.90123"
"41.30000","1.37664","11.61643"
"41.40000","1.37966","10.80017"
"41.50000","1.38390","11.34304"
"41.60000","1.38672","11.29760"
"41.70000","1.38984","11.95171"
"41.80000","1.39388","11.44253"
"41.90000","1.39680","10.65760"
"42.00000","1.40012","11.97599"
"42.10000","1.40395","11.66656"
"42.20000","1.40668","11.10412"
"42.30000","1.41010","11.54749"
"42.40000","1.41373","11.95171"
"42.50000","1.41645","11.44096"
"42.60000","1.41978","11.86162"
"42.70000","1.42371","12.19690"
"42.80000","1.42673","12.50632"
"42.90000","1.42986","11.53026"
"43.00000","1.43349","11.42451"
"43.10000","1.43671","11.37281"
"43.20000","1.44004","11.20909"
"43.30000","1.44387","12.14285"
"43.40000","1.44689","12.15773"
"43.50000","1.45022","10.63723"
"43.60000","1.45395","11.47543"
"43.70000","1.45697","11.39474"
"43.80000","1.46020","10.47038"
"43.90000","1.46393","11.22397"
"44.00000","1.46685","12.52512"
"44.10000","1.47018","12.25252"
"44.20000","1.47380","12.20395"
"44.30000","1.47653","11.21614"
"44.40000","1.47965","12.77188"
"44.50000","1.48358","13.10011"
"44.60000","1.48640","12.16321"
"44.70000","1.48983","11.51068"
"44.80000","1.49386","12.51651"
"44.90000","1.49669","12.27288"
"45.00000","1.50021","10.99523"
"45.10000","1.50374","12.20551"
"45.20000","1.50646","12.45227"
"45.30000","1.51029","11.97286"
"45.40000","1.51382","12.67004"
"45.50000","1.51634","12.22666"
"45.60000","1.52037","11.52243"
"45.70000","1.52380","12.95675"
"45.80000","1.52642","11.87102"
"45.90000","1.53025","11.69163"
"46.00000","1.53358","12.05589"
"46.10000","1.53610","11.88434"
"46.20000","1.53972","12.58309"
"46.30000","1.54345","12.04101"
"46.40000","1.54628","12.31910"
"46.50000","1.55011","12.27367"
"46.60000","1.55373","13.20899"
"46.70000","1.55656","12.68728"
"46.80000","1.56049","12.34495"
"46.90000","1.56391","13.83411"
"47.00000","1.56653","14.04405"
"47.10000","1.57037","13.17609"
"47.20000","1.57369","12.61599"
"47.30000","1.57672","11.66265"
"47.40000","1.58055","12.76013"
"47.50000","1.58357","12.89330"
"47.60000","1.58659","12.02299"
"47.70000","1.59022","12.44601"
"47.80000","1.59325","12.71156"
"47.90000","1.59627","13.19411"
"48.00000","1.60000","12.29168"
"48.10000","1.60322","12.24077"
"48.20000","1.60635","12.96459"
"48.30000","1.61038","13.87406"
"48.40000","1.61350","13.28185"
"48.50000","1.61663","13.30848"
"48.60000","1.62056","13.20429"
"48.70000","1.62358","13.09854"
"48.80000","1.62681","12.81105"
"48.90000","1.63044","13.71113"
"49.00000","1.63336","13.90305"
"49.10000","1.63649","13.32023"
"49.20000","1.64011","12.25957"
"49.30000","1.64314","12.18906"
"49.40000","1.64636","12.76953"
"49.50000","1.65029","13.06877"
"49.60000","1.65362","13.94065"
"49.70000","1.65644","13.46829"
"49.80000","1.66017","13.44322"
"49.90000","1.66360","13.72366"
"50.00000","1.66662","13.63357"
"50.10000","1.67035","13.17453"
"50.20000","1.67348","12.82437"
"50.30000","1.67660","13.50589"
"50.40000","1.68053","13.80591"
"50.50000","1.68366","13.94770"
"50.60000","1.68688","13.32728"
"50.70000","1.69071","13.76910"
"50.80000","1.69353","14.11064"
"50.90000","1.69666","14.08322"
"51.00000","1.70049","14.44591"
"51.10000","1.70321","14.35113"
"51.20000","1.70634","13.21996"
"51.30000","1.71047","13.48160"
"51.40000","1.71329","13.57560"
"51.50000","1.71642","14.48195"
"51.60000","1.72045","13.78711"
"51.70000","1.72337","14.59632"
"51.80000","1.72670","13.10716"
"51.90000","1.73043","13.45497"
"52.00000","1.73325","13.51999"
"52.10000","1.73698","13.73149"
"52.20000","1.74071","14.63549"
"52.30000","1.74323","13.90697"
"52.40000","1.74706","14.81723"
"52.50000","1.75058","14.34486"
"52.60000","1.75300","14.47725"
"52.70000","1.75683","13.90540"
"52.80000","1.76026","14.23676"
"52.90000","1.76278","14.50702"
"53.00000","1.76651","14.97155"
"53.10000","1.77014","14.57517"
"53.20000","1.77296","14.14589"
"53.30000","1.77689","14.72165"
"53.40000","1.78032","14.97625"
"53.50000","1.78304","14.44200"
"53.60000","1.78707","15.28646"
"53.70000","1.79040","15.13684"
"53.80000","1.79302","14.21874"
"53.90000","1.79705","14.52660"
"54.00000","1.80038","14.52033"
"54.10000","1.80330","15.01541"
"54.20000","1.80713","14.47333"
"54.30000","1.81015","14.57125"
"54.40000","1.81308","14.73732"
"54.50000","1.81681","14.17722"
"54.60000","1.81993","14.26183"
"54.70000","1.82285","13.70251"
"54.80000","1.82668","13.66569"
"54.90000","1.83001","13.77380"
"55.00000","1.83313","14.08087"
"55.10000","1.83706","14.41301"
"55.20000","1.84019","15.16033"
"55.30000","1.84331","14.39186"
"55.40000","1.84745","15.51050"
"55.50000","1.85027","15.05458"
"55.60000","1.85339","14.12944"
"55.70000","1.85722","15.36557"
"55.80000","1.86005","15.05850"
"55.90000","1.86317","14.79137"
"56.00000","1.86700","14.67465"
"56.10000","1.86982","14.43495"
"56.20000","1.87305","14.55872"
"56.30000","1.87698","14.46393"
"56.40000","1.88000","14.25086"
"56.50000","1.88313","14.84229"
"56.60000","1.88706","15.39221"
"56.70000","1.89018","15.21204"
"56.80000","1.89321","15.11020"
"56.90000","1.89704","14.99113"
"57.00000","1.90026","15.12743"
"57.10000","1.90329","15.16895"
"57.20000","1.90712","15.95544"
"57.30000","1.91024","15.19480"
"57.40000","1.91357","15.59745"
"57.50000","1.91730","16.04474"
"57.60000","1.92022","15.93037"
"57.70000","1.92365","15.48856"
"57.80000","1.92707","15.64210"
"57.90000","1.93000","15.28097"
"58.00000","1.93322","15.57708"
"58.10000","1.93695","15.73375"
"58.20000","1.93977","16.19280"
"58.30000","1.94290","15.97894"
"58.40000","1.94683","15.29742"
"58.50000","1.94995","15.20577"
"58.60000","1.95338","15.22222"
"58.70000","1.95721","15.41806"
"58.80000","1.96013","15.85282"
"58.90000","1.96386","16.26800"
"59.00000","1.96739","16.49361"
"59.10000","1.96991","16.11603"
"59.20000","1.97374","15.87006"
"59.30000","1.97737","15.75020"
"59.40000","1.97979","15.83637"
"59.50000","1.98362","15.85596"
"59.60000","1.98684","15.90374"
"59.70000","1.98947","16.26722"
"59.80000","1.99289","16.59701"
"59.90000","1.99682","16.46854"
"60.00000","1.99964","16.12230"
"60.10000","2.00327","15.80347"
"60.20000","2.00710","15.62487"
"60.30000","2.01003","16.18967"
"60.40000","2.01376","16.75916"
"60.50000","2.01708","16.70668"
"60.60000","2.01990","16.40039"
"60.70000","2.02363","16.58213"
"60.80000","2.02696","16.43877"
"60.90000","2.02978","15.71730"
"61.00000","2.03371","15.70712"
"61.10000","2.03694","16.72235"
"61.20000","2.03986","16.29307"
