General : Start date,"11/2/2020 4:20 PM"
General : End date,"11/2/2020 4:22 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.33829"
"0.10000","0.00060","-0.49105"
"0.20000","0.00222","0.42940"
"0.30000","0.00716","13.74410"
"0.40000","0.01189","29.55693"
"0.50000","0.01572","42.73377"
"0.60000","0.01935","52.47324"
"0.70000","0.02268","64.02775"
"0.80000","0.02661","75.25716"
"0.90000","0.03004","86.91036"
"1.00000","0.03336","97.13708"
"1.10000","0.03689","109.90030"
"1.20000","0.03971","117.99551"
"1.30000","0.04334","128.65308"
"1.40000","0.04707","142.41508"
"1.50000","0.04989","151.37276"
"1.60000","0.05342","161.68956"
"1.70000","0.05705","174.84525"
"1.80000","0.05977","181.87665"
"1.90000","0.06330","192.37990"
"2.00000","0.06693","206.25156"
"2.10000","0.06945","213.04716"
"2.20000","0.07308","223.26685"
"2.30000","0.07711","237.81219"
"2.40000","0.07983","245.58858"
"2.50000","0.08356","256.14273"
"2.60000","0.08709","269.28824"
"2.70000","0.08971","276.65100"
"2.80000","0.09364","287.08295"
"2.90000","0.09737","299.17957"
"3.00000","0.09999","306.55328"
"3.10000","0.10372","316.75650"
"3.20000","0.10684","326.45132"
"3.30000","0.10987","333.99582"
"3.40000","0.11329","343.55276"
"3.50000","0.11642","353.19666"
"3.60000","0.11944","361.23782"
"3.70000","0.12337","372.94742"
"3.80000","0.12640","381.37244"
"3.90000","0.12972","389.72772"
"4.00000","0.13385","401.37149"
"4.10000","0.13678","410.63232"
"4.20000","0.13980","416.84280"
"4.30000","0.14393","429.19241"
"4.40000","0.14665","436.61316"
"4.50000","0.14978","445.37811"
"4.60000","0.15391","456.80103"
"4.70000","0.15653","464.68390"
"4.80000","0.15976","471.79288"
"4.90000","0.16409","485.58936"
"5.00000","0.16671","493.34378"
"5.10000","0.16984","499.07639"
"5.20000","0.17347","511.59445"
"5.30000","0.17619","518.97992"
"5.40000","0.17972","527.87183"
"5.50000","0.18355","539.89941"
"5.60000","0.18647","547.36560"
"5.70000","0.18979","555.17877"
"5.80000","0.19362","566.54297"
"5.90000","0.19645","574.66638"
"6.00000","0.20008","583.66870"
"6.10000","0.20370","594.39520"
"6.20000","0.20653","600.58374"
"6.30000","0.21015","610.41095"
"6.40000","0.21378","621.91608"
"6.50000","0.21691","628.72186"
"6.60000","0.22003","637.72656"
"6.70000","0.22326","646.56671"
"6.80000","0.22648","653.79321"
"6.90000","0.23001","663.69952"
"7.00000","0.23344","673.66150"
"7.10000","0.23666","680.43982"
"7.20000","0.23989","689.30353"
"7.30000","0.24342","698.33563"
"7.40000","0.24654","706.33685"
"7.50000","0.24957","713.32196"
"7.60000","0.25360","723.87616"
"7.70000","0.25672","732.19696"
"7.80000","0.25985","738.80695"
