General : Start date,"11/2/2020 4:03 PM"
General : End date,"11/2/2020 4:06 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","2.62007"
"0.10000","0.00071","2.00749"
"0.20000","0.00232","3.47942"
"0.30000","0.00695","11.46887"
"0.40000","0.01169","25.63273"
"0.50000","0.01572","35.05729"
"0.60000","0.01915","42.67543"
"0.70000","0.02298","50.68916"
"0.80000","0.02681","58.73737"
"0.90000","0.02994","65.35438"
"1.00000","0.03336","72.81663"
"1.10000","0.03679","79.86292"
"1.20000","0.03991","86.15562"
"1.30000","0.04344","93.08206"
"1.40000","0.04707","101.40051"
"1.50000","0.05009","106.68974"
"1.60000","0.05322","112.24217"
"1.70000","0.05675","118.96964"
"1.80000","0.05967","124.65131"
"1.90000","0.06330","129.99536"
"2.00000","0.06693","138.27231"
"2.10000","0.06965","142.51575"
"2.20000","0.07308","148.39720"
"2.30000","0.07721","155.77171"
"2.40000","0.07983","159.90157"
"2.50000","0.08315","164.72546"
"2.60000","0.08719","173.25153"
"2.70000","0.08991","176.80405"
"2.80000","0.09384","181.83946"
"2.90000","0.09717","188.97113"
"3.00000","0.09989","192.81194"
"3.10000","0.10352","197.14076"
"3.20000","0.10694","204.30612"
"3.30000","0.10976","207.93774"
"3.40000","0.11359","213.85992"
"3.50000","0.11672","218.51540"
"3.60000","0.11964","222.50191"
"3.70000","0.12327","228.38022"
"3.80000","0.12629","232.70201"
"3.90000","0.12972","238.46436"
"4.00000","0.13375","244.75786"
"4.10000","0.13678","249.90999"
"4.20000","0.13970","252.63684"
"4.30000","0.14383","260.81665"
"4.40000","0.14676","264.95120"
"4.50000","0.14988","269.39832"
"4.60000","0.15401","276.92010"
"4.70000","0.15673","280.41782"
"4.80000","0.15996","285.09680"
"4.90000","0.16399","291.58768"
"5.00000","0.16651","295.30313"
"5.10000","0.16964","299.22226"
"5.20000","0.17357","306.61166"
"5.30000","0.17639","310.19553"
"5.40000","0.17972","314.49847"
"5.50000","0.18375","322.24591"
"5.60000","0.18637","325.44904"
"5.70000","0.18959","328.79160"
"5.80000","0.19362","335.88336"
"5.90000","0.19655","340.40408"
"6.00000","0.20018","344.97498"
"6.10000","0.20391","351.51599"
"6.20000","0.20683","354.51547"
"6.30000","0.21026","359.52271"
"6.40000","0.21388","365.26309"
"6.50000","0.21650","368.40280"
"6.60000","0.22003","373.09982"
"6.70000","0.22346","378.71649"
"6.80000","0.22679","383.02728"
"6.90000","0.23001","387.11249"
"7.00000","0.23324","391.69980"
"7.10000","0.23656","396.63730"
"7.20000","0.23999","400.58075"
"7.30000","0.24342","406.34857"
"7.40000","0.24654","409.42249"
"7.50000","0.24977","413.58524"
"7.60000","0.25380","419.67737"
"7.70000","0.25672","423.53934"
"7.80000","0.25975","426.60226"
