General : Start date,"11/2/2020 3:39 PM"
General : End date,"11/2/2020 3:40 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00010","-3.52258"
"0.10000","0.00020","-3.30403"
"0.20000","0.00161","-3.22177"
"0.30000","0.00514","3.54642"
"0.40000","0.01220","28.69843"
"0.50000","0.01582","44.04751"
"0.60000","0.01955","55.96315"
"0.70000","0.02288","68.78434"
"0.80000","0.02631","79.61816"
"0.90000","0.03034","94.39460"
"1.00000","0.03296","103.59356"
"1.10000","0.03608","112.34756"
"1.20000","0.04002","127.06761"
"1.30000","0.04284","136.48120"
"1.40000","0.04626","145.93396"
"1.50000","0.04999","159.72417"
"1.60000","0.05292","168.91608"
"1.70000","0.05655","178.29050"
"1.80000","0.06017","191.47751"
"1.90000","0.06320","200.67569"
"2.00000","0.06683","212.25055"
"2.10000","0.07005","224.43645"
"2.20000","0.07297","232.91237"
"2.30000","0.07680","244.83504"
"2.40000","0.08003","256.50861"
"2.50000","0.08275","263.38257"
"2.60000","0.08698","275.22064"
"2.70000","0.09031","287.06812"
"2.80000","0.09303","294.51944"
"2.90000","0.09696","306.55960"
"3.00000","0.09999","316.50433"
"3.10000","0.10281","324.36295"
"3.20000","0.10674","335.99265"
"3.30000","0.10987","346.52408"
"3.40000","0.11299","355.66742"
"3.50000","0.11662","367.27676"
"3.60000","0.11994","378.03931"
"3.70000","0.12307","388.10150"
"3.80000","0.12670","398.45587"
"3.90000","0.13023","409.71036"
"4.00000","0.13325","419.64334"
"4.10000","0.13698","431.10699"
"4.20000","0.13990","440.55899"
"4.30000","0.14353","451.38257"
"4.40000","0.14696","462.65976"
"4.50000","0.14988","471.10358"
"4.60000","0.15311","481.67026"
"4.70000","0.15663","491.67764"
"4.80000","0.15986","502.98538"
"4.90000","0.16308","513.70013"
"5.00000","0.16681","525.90717"
"5.10000","0.16974","534.67529"
"5.20000","0.17296","544.67480"
"5.30000","0.17669","557.06598"
"5.40000","0.18032","568.40039"
"5.50000","0.18334","578.07013"
"5.60000","0.18697","588.96893"
"5.70000","0.19000","598.54077"
"5.80000","0.19312","607.48279"
"5.90000","0.19705","620.78491"
"6.00000","0.19997","631.19971"
"6.10000","0.20310","639.94348"
"6.20000","0.20693","652.19049"
"6.30000","0.20985","662.73370"
"6.40000","0.21308","671.63654"
"6.50000","0.21691","683.74335"
"6.60000","0.21973","693.14594"
"6.70000","0.22285","702.32843"
"6.80000","0.22679","714.11792"
"6.90000","0.22981","724.78180"
"7.00000","0.23314","733.65564"
"7.10000","0.23707","746.99854"
"7.20000","0.23989","756.25543"
"7.30000","0.24332","765.91193"
"7.40000","0.24705","778.76990"
"7.50000","0.24967","787.12671"
"7.60000","0.25309","796.61475"
"7.70000","0.25692","810.24982"
"7.80000","0.25944","818.74457"
