General : Start date,"11/4/2020 2:02 PM"
General : End date,"11/4/2020 2:09 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.12477"
"0.10000","0.00020","0.59792"
"0.20000","0.00131","0.12320"
"0.30000","0.00504","0.24619"
"0.40000","0.01230","-0.48625"
"0.50000","0.01623","-0.00683"
"0.60000","0.01925","0.05035"
"0.70000","0.02318","-0.26847"
"0.80000","0.02631","0.00883"
"0.90000","0.02973","-0.32566"
"1.00000","0.03346","-0.61002"
"1.10000","0.03629","-0.73535"
"1.20000","0.03961","-0.75964"
"1.30000","0.04354","-0.73379"
"1.40000","0.04647","-0.70872"
"1.50000","0.04999","-0.83876"
"1.60000","0.05392","-0.02407"
"1.70000","0.05665","-0.93041"
"1.80000","0.06027","-0.04365"
"1.90000","0.06390","-0.71734"
"2.00000","0.06652","0.19371"
"2.10000","0.07015","-0.06950"
"2.20000","0.07378","0.00570"
"2.30000","0.07640","-0.20737"
"2.40000","0.07993","-0.01623"
"2.50000","0.08366","0.71385"
"2.60000","0.08638","-0.18152"
"2.70000","0.09001","0.12085"
"2.80000","0.09354","0.77887"
"2.90000","0.09616","0.53525"
"3.00000","0.09999","0.58225"
"3.10000","0.10352","0.67860"
"3.20000","0.10624","0.42871"
"3.30000","0.11047","1.08908"
"3.40000","0.11380","0.89167"
"3.50000","0.11652","0.71620"
"3.60000","0.12075","1.30999"
"3.70000","0.12367","1.30764"
"3.80000","0.12640","1.18700"
"3.90000","0.13063","1.76355"
"4.00000","0.13355","1.89985"
"4.10000","0.13647","0.98803"
"4.20000","0.14030","1.72047"
"4.30000","0.14343","2.02832"
"4.40000","0.14625","1.78000"
"4.50000","0.15028","1.06558"
"4.60000","0.15341","1.45256"
"4.70000","0.15633","1.60296"
"4.80000","0.16046","0.95983"
"4.90000","0.16359","2.29937"
"5.00000","0.16661","1.04208"
"5.10000","0.17054","1.76982"
"5.20000","0.17367","1.75102"
"5.30000","0.17679","1.43924"
"5.40000","0.18042","2.32600"
"5.50000","0.18324","1.32722"
"5.60000","0.18647","2.09961"
"5.70000","0.19030","1.74867"
"5.80000","0.19342","2.52341"
"5.90000","0.19665","2.49207"
"6.00000","0.20018","2.89002"
"6.10000","0.20330","2.72630"
"6.20000","0.20663","2.79993"
"6.30000","0.21005","2.96757"
"6.40000","0.21318","2.77643"
"6.50000","0.21671","3.01692"
"6.60000","0.22033","3.24723"
"6.70000","0.22316","3.39842"
"6.80000","0.22679","3.40938"
"6.90000","0.23052","3.50495"
"7.00000","0.23334","3.91700"
"7.10000","0.23687","2.36909"
"7.20000","0.24039","3.76973"
"7.30000","0.24332","3.36003"
"7.40000","0.24664","4.08855"
"7.50000","0.25007","3.93345"
"7.60000","0.25319","4.41286"
"7.70000","0.25652","4.06427"
"7.80000","0.26015","4.89384"
