General : Start date,"11/2/2020 3:26 PM"
General : End date,"11/2/2020 3:28 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.48676"
"0.10000","0.00060","-0.98341"
"0.20000","0.00232","-1.62889"
"0.30000","0.00403","-0.76407"
"0.40000","0.00564","-1.43854"
"0.50000","0.00847","3.39085"
"0.60000","0.01623","21.85769"
"0.70000","0.02197","37.78960"
"0.80000","0.02530","48.30772"
"0.90000","0.02893","58.49997"
"1.00000","0.03316","69.31577"
"1.10000","0.03618","80.97446"
"1.20000","0.03981","89.01405"
"1.30000","0.04324","100.82236"
"1.40000","0.04616","110.35893"
"1.50000","0.05009","121.61812"
"1.60000","0.05312","132.38142"
"1.70000","0.05594","140.61920"
"1.80000","0.06017","152.78238"
"1.90000","0.06330","164.18257"
"2.00000","0.06622","173.71992"
"2.10000","0.07035","185.30890"
"2.20000","0.07348","197.54884"
"2.30000","0.07650","205.69025"
"2.40000","0.08033","217.93567"
"2.50000","0.08326","227.51065"
"2.60000","0.08658","235.94583"
"2.70000","0.09051","248.58530"
"2.80000","0.09333","256.53088"
"2.90000","0.09656","265.25824"
"3.00000","0.10039","277.29999"
"3.10000","0.10331","285.28317"
"3.20000","0.10654","294.91925"
"3.30000","0.11017","305.57211"
"3.40000","0.11289","313.33832"
"3.50000","0.11622","323.29477"
"3.60000","0.12015","335.56525"
"3.70000","0.12297","343.67065"
"3.80000","0.12650","353.26050"
"3.90000","0.13023","365.77618"
"4.00000","0.13315","373.13425"
"4.10000","0.13698","384.59631"
"4.20000","0.14020","395.35413"
"4.30000","0.14303","403.18454"
"4.40000","0.14635","412.08115"
"4.50000","0.15028","424.39941"
"4.60000","0.15351","433.87097"
"4.70000","0.15653","442.03201"
"4.80000","0.16006","452.64880"
"4.90000","0.16318","462.62253"
"5.00000","0.16631","470.72632"
"5.10000","0.16984","481.74817"
"5.20000","0.17296","490.74576"
"5.30000","0.17609","499.51309"
"5.40000","0.17992","510.89212"
"5.50000","0.18324","520.34955"
"5.60000","0.18647","528.23566"
"5.70000","0.19020","539.13373"
"5.80000","0.19332","548.87708"
"5.90000","0.19655","556.34088"
"6.00000","0.20038","567.64789"
"6.10000","0.20350","576.15118"
"6.20000","0.20673","585.17542"
"6.30000","0.21026","594.41205"
"6.40000","0.21318","601.02197"
"6.50000","0.21661","610.17548"
"6.60000","0.22013","621.87494"
"6.70000","0.22275","628.22870"
"6.80000","0.22628","637.21619"
"6.90000","0.22991","647.91919"
"7.00000","0.23283","655.30072"
"7.10000","0.23656","665.09503"
"7.20000","0.24029","676.50623"
"7.30000","0.24311","682.66962"
"7.40000","0.24684","691.60223"
"7.50000","0.25027","702.85907"
"7.60000","0.25309","709.88580"
"7.70000","0.25672","718.42047"
"7.80000","0.26025","729.00751"
