General : Start date,"11/2/2020 3:13 PM"
General : End date,"11/2/2020 3:15 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00010","-0.49029"
"0.10000","0.00081","-1.13342"
"0.20000","0.00232","-0.59839"
"0.30000","0.00726","12.86045"
"0.40000","0.01270","34.97225"
"0.50000","0.01653","49.53954"
"0.60000","0.01986","61.37684"
"0.70000","0.02369","74.68214"
"0.80000","0.02721","88.34310"
"0.90000","0.03034","98.99283"
"1.00000","0.03417","111.38474"
"1.10000","0.03780","121.80965"
"1.20000","0.04082","132.24631"
"1.30000","0.04435","143.32295"
"1.40000","0.04768","154.32834"
"1.50000","0.05050","163.50066"
"1.60000","0.05413","173.72188"
"1.70000","0.05755","186.50233"
"1.80000","0.06038","195.45923"
"1.90000","0.06380","205.26294"
"2.00000","0.06763","218.29251"
"2.10000","0.07045","227.62386"
"2.20000","0.07449","240.15834"
"2.30000","0.07791","251.25378"
"2.40000","0.08063","259.80646"
"2.50000","0.08467","271.64062"
"2.60000","0.08799","283.48343"
"2.70000","0.09071","292.93069"
"2.80000","0.09465","303.46762"
"2.90000","0.09777","315.07852"
"3.00000","0.10049","323.09381"
"3.10000","0.10422","333.67538"
"3.20000","0.10755","346.26315"
"3.30000","0.11047","354.70697"
"3.40000","0.11420","366.25598"
"3.50000","0.11742","377.91544"
"3.60000","0.12035","387.30319"
"3.70000","0.12438","400.60928"
"3.80000","0.12750","411.04361"
"3.90000","0.13093","421.64944"
"4.00000","0.13486","434.49570"
"4.10000","0.13758","444.19522"
"4.20000","0.14061","453.46548"
"4.30000","0.14474","466.89453"
"4.40000","0.14716","475.43469"
"4.50000","0.15048","484.88196"
"4.60000","0.15462","500.07513"
"4.70000","0.15724","508.16800"
"4.80000","0.16067","518.73077"
"4.90000","0.16450","533.17822"
"5.00000","0.16722","541.86017"
"5.10000","0.17064","551.90515"
"5.20000","0.17437","565.58728"
"5.30000","0.17709","573.69031"
"5.40000","0.18082","584.40192"
"5.50000","0.18445","599.07025"
"5.60000","0.18727","607.66370"
"5.70000","0.19090","619.12103"
"5.80000","0.19473","632.63239"
"5.90000","0.19766","641.93079"
"6.00000","0.20098","653.40930"
"6.10000","0.20451","665.75739"
"6.20000","0.20774","675.78119"
"6.30000","0.21076","685.80035"
"6.40000","0.21409","697.33521"
"6.50000","0.21731","707.63953"
"6.60000","0.22064","717.91010"
"6.70000","0.22396","729.38239"
"6.80000","0.22739","740.54834"
"6.90000","0.23072","750.64496"
"7.00000","0.23414","762.24493"
"7.10000","0.23727","772.74658"
"7.20000","0.24059","782.34113"
"7.30000","0.24442","796.73688"
"7.40000","0.24755","806.55078"
"7.50000","0.25067","816.98431"
"7.60000","0.25440","828.33197"
"7.70000","0.25743","838.29388"
"7.80000","0.26106","850.20251"
