General : Start date,"11/2/2020 3:52 PM"
General : End date,"11/2/2020 3:54 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-5.21830"
"0.10000","0.00060","-5.03186"
"0.20000","0.00202","-3.41658"
"0.30000","0.00685","9.88951"
"0.40000","0.01260","34.51667"
"0.50000","0.01593","46.82241"
"0.60000","0.01986","60.72306"
"0.70000","0.02308","73.76830"
"0.80000","0.02651","85.23742"
"0.90000","0.03024","99.95669"
"1.00000","0.03306","109.27392"
"1.10000","0.03669","121.66427"
"1.20000","0.04022","134.58417"
"1.30000","0.04304","144.69102"
"1.40000","0.04647","155.68857"
"1.50000","0.04999","168.67270"
"1.60000","0.05302","178.43567"
"1.70000","0.05665","189.10341"
"1.80000","0.06017","201.66374"
"1.90000","0.06330","211.42201"
"2.00000","0.06693","223.16531"
"2.10000","0.07005","233.75238"
"2.20000","0.07318","242.23297"
"2.30000","0.07721","255.42627"
"2.40000","0.07963","263.61469"
"2.50000","0.08275","272.32797"
"2.60000","0.08729","286.23099"
"2.70000","0.09041","298.16696"
"2.80000","0.09303","304.63358"
"2.90000","0.09696","315.94525"
"3.00000","0.09999","326.26990"
"3.10000","0.10301","334.93771"
"3.20000","0.10694","346.75858"
"3.30000","0.10987","356.77768"
"3.40000","0.11309","366.87360"
"3.50000","0.11682","378.10770"
"3.60000","0.12005","389.89096"
"3.70000","0.12327","399.42987"
"3.80000","0.12680","410.17438"
"3.90000","0.13023","421.95685"
"4.00000","0.13335","431.94620"
"4.10000","0.13708","444.09842"
"4.20000","0.14030","454.03683"
"4.30000","0.14343","464.56671"
"4.40000","0.14686","475.16083"
"4.50000","0.14998","484.49374"
"4.60000","0.15331","494.91162"
"4.70000","0.15673","505.89032"
"4.80000","0.15986","517.31641"
"4.90000","0.16308","526.28735"
"5.00000","0.16671","538.78186"
"5.10000","0.17004","550.42102"
"5.20000","0.17316","559.49854"
"5.30000","0.17689","571.36560"
"5.40000","0.18032","582.56134"
"5.50000","0.18334","591.61462"
"5.60000","0.18707","603.22083"
"5.70000","0.19020","612.72998"
"5.80000","0.19322","621.53644"
"5.90000","0.19715","634.92639"
"6.00000","0.20008","644.38538"
"6.10000","0.20320","653.40100"
"6.20000","0.20733","666.70477"
"6.30000","0.21005","675.71417"
"6.40000","0.21278","682.61163"
"6.50000","0.21681","694.99725"
"6.60000","0.21993","705.35950"
"6.70000","0.22316","712.97449"
"6.80000","0.22689","726.14508"
"6.90000","0.22971","735.05182"
"7.00000","0.23314","743.45807"
"7.10000","0.23727","757.65948"
"7.20000","0.24009","766.42212"
"7.30000","0.24322","774.31055"
"7.40000","0.24715","787.97852"
"7.50000","0.24987","796.20135"
"7.60000","0.25340","805.77789"
"7.70000","0.25702","818.95630"
"7.80000","0.25944","825.51147"
