General : Start date,"11/2/2020 3:22 PM"
General : End date,"11/2/2020 3:24 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.54724"
"0.10000","0.00050","-0.44541"
"0.20000","0.00222","0.21653"
"0.30000","0.00464","-0.08428"
"0.40000","0.00615","0.35675"
"0.50000","0.00847","2.37781"
"0.60000","0.01502","22.80853"
"0.70000","0.02147","49.99021"
"0.80000","0.02550","68.03795"
"0.90000","0.02923","80.41264"
"1.00000","0.03286","95.00891"
"1.10000","0.03608","107.67107"
"1.20000","0.03971","120.58315"
"1.30000","0.04324","133.74823"
"1.40000","0.04637","144.70973"
"1.50000","0.05009","157.78865"
"1.60000","0.05352","169.96983"
"1.70000","0.05665","180.72923"
"1.80000","0.06048","191.79414"
"1.90000","0.06360","201.98717"
"2.00000","0.06652","210.73257"
"2.10000","0.07035","223.55847"
"2.20000","0.07348","234.06013"
"2.30000","0.07640","243.45726"
"2.40000","0.08013","254.41721"
"2.50000","0.08346","267.35355"
"2.60000","0.08648","276.43030"
"2.70000","0.09031","289.04782"
"2.80000","0.09344","299.97644"
"2.90000","0.09636","308.02933"
"3.00000","0.10049","321.07300"
"3.10000","0.10352","332.52802"
"3.20000","0.10644","339.90491"
"3.30000","0.11047","353.31516"
"3.40000","0.11339","362.42950"
"3.50000","0.11652","371.21408"
"3.60000","0.12045","384.20605"
"3.70000","0.12327","393.48566"
"3.80000","0.12660","402.92822"
"3.90000","0.13033","414.84464"
"4.00000","0.13295","423.42792"
"4.10000","0.13678","434.25076"
"4.20000","0.14030","447.10172"
"4.30000","0.14303","454.24826"
"4.40000","0.14615","462.97406"
"4.50000","0.15028","477.18417"
"4.60000","0.15321","485.64911"
"4.70000","0.15653","495.85156"
"4.80000","0.16036","508.57245"
"4.90000","0.16339","517.75806"
"5.00000","0.16681","527.91040"
"5.10000","0.17034","540.24194"
"5.20000","0.17316","549.22162"
"5.30000","0.17669","560.05304"
"5.40000","0.18042","572.00238"
"5.50000","0.18334","581.11206"
"5.60000","0.18687","591.38654"
"5.70000","0.19020","602.65820"
"5.80000","0.19302","610.97906"
"5.90000","0.19665","621.86926"
"6.00000","0.20008","634.44922"
"6.10000","0.20300","642.14410"
"6.20000","0.20663","652.99438"
"6.30000","0.21005","664.98053"
"6.40000","0.21308","673.33423"
"6.50000","0.21671","684.55969"
"6.60000","0.22013","695.14832"
"6.70000","0.22336","704.08722"
"6.80000","0.22689","715.21478"
"6.90000","0.23021","725.32404"
"7.00000","0.23354","735.45282"
"7.10000","0.23717","746.23651"
"7.20000","0.24039","755.73468"
"7.30000","0.24342","764.52002"
"7.40000","0.24684","773.26306"
"7.50000","0.25007","784.01624"
"7.60000","0.25309","791.96411"
"7.70000","0.25632","801.41455"
"7.80000","0.25995","812.32117"
